orig_no;taxon_no;record_type;flags;taxon_rank;taxon_name;taxon_attr;common_name;difference;accepted_no;accepted_rank;accepted_name;parent_no;parent_name;ref_author;ref_pubyr;reference_no;is_extant;n_occs;firstapp_max_ma;firstapp_min_ma;lastapp_max_ma;lastapp_min_ma;early_interval;late_interval;taxon_size;extant_size;phylum;class;order;family;genus;type_taxon;n_orders;n_families;n_genera;n_species;taxon_environment;environment_basis;motility;life_habit;vision;diet;reproduction;ontogeny;ecospace_comments;composition;architecture;thickness;reinforcement
240059;240059;txn;;;Lycophocyon;Tomiya 2011;;;240059;genus;Lycophocyon;54044;Caniformia;Tomiya;2011;42169;extinct;7;46.2;39.7;39.7;37;Lutetian;Priabonian;3;0;Chordata;Mammalia;Carnivora;;Lycophocyon;;;;;2;terrestrial;;actively mobile;ground dwelling;;carnivore, omnivore;viviparous;;;phosphatic;;;
475047;475047;txn;;;Lycophocyon tabrumi;Lofgren et al. 2020;;;475047;species;Lycophocyon tabrumi;240059;Lycophocyon;Lofgren et al.;2020;85377;extinct;1;46.2;37;46.2;37;Lutetian;Priabonian;1;0;Chordata;Mammalia;Carnivora;;Lycophocyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore, omnivore;viviparous;;;phosphatic;;;
240060;240060;txn;;;Lycophocyon hutchisoni;Tomiya 2011;;;240060;species;Lycophocyon hutchisoni;240059;Lycophocyon;Tomiya;2011;42169;extinct;6;46.2;39.7;39.7;37;Lutetian;Priabonian;1;0;Chordata;Mammalia;Carnivora;;Lycophocyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore, omnivore;viviparous;;;phosphatic;;;
41266;41266;txn;;;Amphicyonidae;Haeckel 1886;bear-dog;;41266;family;Amphicyonidae;54044;Caniformia;Carroll;1988;4783;extant;615;56;47.8;5.333;2.58;Ypresian;Piacenzian;212;2;Chordata;Mammalia;Carnivora;Amphicyonidae;;;;;58;135;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;"""feeding preferences of beardogs must have ranged widely from carnivorous to omnivorous"" (i.e., mostly carnivorous)";phosphatic;;;
96580;96580;txn;;;Aphicyoninae;Trouessart 1885;;;96580;subfamily;Aphicyoninae;41266;Amphicyonidae;Sach and Heizmann;2001;23602;extant;0;;;;;;;1;1;Chordata;Mammalia;Carnivora;Amphicyonidae;;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
318373;318373;txn;;;Notoamphicyon;Ameghino 1904;;;318373;genus;Notoamphicyon;41266;Amphicyonidae;Ameghino;1904;54855;extinct;0;;;;;;;2;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Notoamphicyon;Notoamphicyon paranensis;;;;1;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
318374;318374;txn;;;Notoamphicyon paranensis;Ameghino 1904;;;318374;species;Notoamphicyon paranensis;318373;Notoamphicyon;Ameghino;1904;54855;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Notoamphicyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
351932;351932;txn;;;Gustafsonia;Tomiya and Tseng 2016;;;351932;genus;Gustafsonia;41266;Amphicyonidae;Tomiya and Tseng;2016;62151;extinct;1;37;33.9;37;33.9;Priabonian;;2;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Gustafsonia;Gustafsonia cognita;;;;1;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
48481;351933;txn;;;Gustafsonia cognita;(Gustafson 1986);;;48481;species;Gustafsonia cognita;351932;Gustafsonia;Gustafson;1986;1758;extinct;1;37;33.9;37;33.9;Priabonian;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Gustafsonia;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
41295;41295;txn;;;Pseudocyonopsis;Kuss 1965;;;41295;genus;Pseudocyonopsis;41266;Amphicyonidae;Kuss;1965;88968;extinct;1;33.9;27.82;33.9;27.82;Rupelian;;5;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Pseudocyonopsis;;;;;4;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
470250;470250;txn;;;Pseudocyonopsis landesquei;Helbing 1928;;;470250;species;Pseudocyonopsis landesquei;41295;Pseudocyonopsis;Morales et al.;2019;84343;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Pseudocyonopsis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
470351;470351;txn;;;Pseudocyonopsis ambiguus;Ginsburg 1965;;;470351;species;Pseudocyonopsis ambiguus;41295;Pseudocyonopsis;de Bonis;1966;84377;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Pseudocyonopsis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
471969;471969;txn;;;Pseudocyonopsis quercensis;Ginsburg 1965;;;471969;species;Pseudocyonopsis quercensis;41295;Pseudocyonopsis;Morales  et al.;2021;84342;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Pseudocyonopsis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
471968;471968;txn;;;Pseudocyonopsis antiquus;Ginsburg 1966;;;471968;species;Pseudocyonopsis antiquus;41295;Pseudocyonopsis;Morales  et al.;2021;84342;extinct;1;33.9;27.82;33.9;27.82;Rupelian;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Pseudocyonopsis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
41292;41292;txn;;;Pseudamphicyon;Schlosser 1887;;;41292;genus;Pseudamphicyon;41266;Amphicyonidae;Carroll;1988;4783;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Pseudamphicyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
41272;41272;txn;;;Arctamphicyon;Pilgrim 1932;;;41272;genus;Arctamphicyon;41266;Amphicyonidae;Carroll;1988;4783;extinct;0;;;;;;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Arctamphicyon;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
455525;455525;txn;;;Storchictis;de Bonis 2020;;;455525;genus;Storchictis;41266;Amphicyonidae;de Bonis;2020;81561;extinct;1;37.71;33.9;37.71;33.9;Priabonian;;2;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Storchictis;;;;;1;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
455524;455526;txn;;;Storchictis miacinus;(de Chardin 1915);;;455524;species;Storchictis miacinus;455525;Storchictis;de Bonis;2020;81561;extinct;1;37.71;33.9;37.71;33.9;Priabonian;;1;0;Chordata;Mammalia;Carnivora;Amphicyonidae;Storchictis;;;;;;terrestrial;;actively mobile;ground dwelling;;carnivore;viviparous;;;phosphatic;;;
