LIDNUM;NAME;LATSTR;LONGSTR;LAT;LONG;MAX_AGE;BFA_MAX;BFA_MAX_ABS;FRAC_MAX;MIN_AGE;BFA_MIN;BFA_MIN_ABS;FRAC_MIN;CHRON;AGE_COMM;BASIN;SUBBASIN;COUNTRY;STATE;COUNTY;APNUMSPM;GENERAL;LOC_SYNONYMS;MEAN_HYPSODONTY;ESTIMATE_PRECIP;ESTIMATE_TEMP;ESTIMATE_NPP;PERS_WOODY_COVER;PERS_POLLEN_AP;PERS_POLLEN_NAP;PERS_POLLEN_OTHER;SIDNUM;ORDER;FAMILY;GENUS;SPECIES;SUBCLASSORSUPERORDER;SUBORDERORSUPERFAMILY;SUBFAMILY;UNIQUE;TAXON_STATUS;ID_STATUS;ADD_INFO;SOURCE_NAME;LS_MICROWEAR;LS_MESOWEAR;LS_MESOWEAR_SCORE;LS_MW_OR_HIGH;LS_MW_OR_LOW;LS_MW_CS_SHARP;LS_MW_CS_ROUND;LS_MW_CS_BLUNT;SVLENGTH;BODYMASS;SXDIMSZE;SXDIMDIS;TSHM;TCRWNHT;HORIZODONTY;CROWNTYP;CUSP_SHAPE;CUSP_COUNT_BUCCAL;CUSP_COUNT_LINGUAL;LOPH_COUNT_LON;LOPH_COUNT_TRS;FCT_AL;FCT_OL;FCT_SF;FCT_OT;FCT_CM;MICROWEAR;MESOWEAR;MESOWEAR_SCORE;MW_OR_HIGH;MW_OR_LOW;MW_CS_SHARP;MW_CS_ROUND;MW_CS_BLUNT;DIET_1;DIET_2;DIET_3;LOCOMO1;LOCOMO2;LOCOMO3;SPCOMMENT;SP_SYNONYM;SP_SYNONYM_COMMENT
24269;Westbury-sub-Mendip Fissure;51 14 9 N;2 42 40 W;51.2358;-2.7111;1.9;oldstylepleistocene;\N;\N;0.0117;oldstylepleistocene;\N;\N;\N;Cromerian;Bristol Channel - South Wales Coal;\N;United Kingdom;\N;Somerset;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;22757;Carnivora;Canidae;Xenocyon;indet.;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;cso;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;te;\N;\N;\N;\N;\N
24269;Westbury-sub-Mendip Fissure;51 14 9 N;2 42 40 W;51.2358;-2.7111;1.9;oldstylepleistocene;\N;\N;0.0117;oldstylepleistocene;\N;\N;\N;Cromerian;Bristol Channel - South Wales Coal;\N;United Kingdom;\N;Somerset;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;21127;Carnivora;Felidae;Homotherium;indet.;Eutheria;\N;Machairodontinae;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;n;n;csp;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;meat_only;te;surficial;cursorial;\N;Epimachairodus indet.;\N
24269;Westbury-sub-Mendip Fissure;51 14 9 N;2 42 40 W;51.2358;-2.7111;1.9;oldstylepleistocene;\N;\N;0.0117;oldstylepleistocene;\N;\N;\N;Cromerian;Bristol Channel - South Wales Coal;\N;United Kingdom;\N;Somerset;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;23853;Carnivora;Felidae;Panthera;gombaszoegensis;Eutheria;\N;Felinae;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;1m-2m;126765;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;\N;te;\N;\N;\N;Felis gombaszoegensis;\N
28460;Beaver Creek;44 30 0 N;124 6 0 W;44.5;-124.1;29.75;arikareean;\N;\N;15.97;hemingfordian;\N;\N;\N;\N;West Washington and Oregon;\N;United States of America;Oregon;Lincoln;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;84317;Carnivora;Enaliarctidae;Enaliarctos;barnesi;Eutheria;Pinnipedia;\N;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;We use Pinnipedia on order level for practical reasons;\N;\N
28460;Beaver Creek;44 30 0 N;124 6 0 W;44.5;-124.1;29.75;arikareean;\N;\N;15.97;hemingfordian;\N;\N;\N;\N;West Washington and Oregon;\N;United States of America;Oregon;Lincoln;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;84316;Carnivora;Enaliarctidae;Enaliarctos;emlongi;Eutheria;Pinnipedia;\N;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;We use Pinnipedia on order level for practical reasons;\N;\N
28460;Beaver Creek;44 30 0 N;124 6 0 W;44.5;-124.1;29.75;arikareean;\N;\N;15.97;hemingfordian;\N;\N;\N;\N;West Washington and Oregon;\N;United States of America;Oregon;Lincoln;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;84318;Carnivora;Enaliarctidae;Enaliarctos;tedfordi;Eutheria;Pinnipedia;\N;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;We use Pinnipedia on order level for practical reasons;\N;\N
28458;Big Creek;44 38 57 N;124 3 35 W;44.64937583635247;-124.05999898910522;29.75;arikareean;\N;\N;12.57;barstovian;\N;\N;\N;\N;West Washington and Oregon;\N;United States of America;Oregon;Lincoln;\N;y;\N;\N;\N;\N;\N;\N;\N;\N;\N;84316;Carnivora;Enaliarctidae;Enaliarctos;emlongi;Eutheria;Pinnipedia;\N;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;We use Pinnipedia on order level for practical reasons;\N;\N
28459;Thiel Creek;44 33 45 N;124 3 24 W;44.5626392;-124.05686359999999;23.03;aquitanian;\N;\N;20.44;aquitanian;\N;\N;\N;\N;West Washington and Oregon;\N;United States of America;Oregon;Lincoln;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;84315;Carnivora;Enaliarctidae;Enaliarctos;mitchelli;Eutheria;Pinnipedia;\N;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;We use Pinnipedia on order level for practical reasons;\N;\N
11176;West Coast Marine WM6;44 58 19 N;124 0 39 W;44.972222;-124.011111;22.2;arikareean-3;;;17.34;hemingfordian-1;;;Ar3/Ar4 - He1;;West Washington and Oregon;\N;United States of America;OR;Lincoln;\N;n;WM6;\N;\N;\N;\N;\N;\N;\N;\N;84368;Carnivora;Enaliarctidae;Pinnarctidion;rayi;Eutheria;Pinnipedia;\N;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;We use Pinnipedia on order level for practical reasons;\N;\N
27675;Ankilitelo;22 55 0 S;43 53 0 E;-22.9166666666667;43.883333333333304;0.0117;holocene;\N;\N;0;holocene;\N;\N;\N;Radiocarbon dates suggest late Holocene (~500 years BP);Morondava;\N;Madagascar;\N;\N;\N;\N;\N;1.08;\N;\N;\N;\N;\N;\N;\N;34651;Carnivora;Eupleridae;Cryptoprocta;ferox;Eutheria;\N;Euplerinae;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
27675;Ankilitelo;22 55 0 S;43 53 0 E;-22.9166666666667;43.883333333333304;0.0117;holocene;\N;\N;0;holocene;\N;\N;\N;Radiocarbon dates suggest late Holocene (~500 years BP);Morondava;\N;Madagascar;\N;\N;\N;\N;\N;1.08;\N;\N;\N;\N;\N;\N;\N;34652;Carnivora;Eupleridae;Galidia;elegans;Eutheria;\N;Galidiinae;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
27675;Ankilitelo;22 55 0 S;43 53 0 E;-22.9166666666667;43.883333333333304;0.0117;holocene;\N;\N;0;holocene;\N;\N;\N;Radiocarbon dates suggest late Holocene (~500 years BP);Morondava;\N;Madagascar;\N;\N;\N;\N;\N;1.08;\N;\N;\N;\N;\N;\N;\N;34653;Carnivora;Eupleridae;Galidictis;grandidieri;Eutheria;\N;Galidiinae;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
