"","MDD_species","MDD_original_combination","pbdb_accepted_name","string_distance","match_notes","MDD_family","pbdb_family","MDD_author","MDD_year","MDD_authority_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_accepted_author_parentheses","accepted_match","MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_genus","MDD_validity","MDD_actual_rank","MDD_continent","pbdb_accepted_no","pbdb_taxon_no"
"1059","Martes_martes","Martes_martes","Martes_vetus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","G. S. Miller",1912,0,"Kretzoi",1947,FALSE,FALSE,1005822,100034836,"martes","Carnivora","Martes","synonym","species","Asia|Europe",376882,376882
"1060","Meles_meles","Ursus_meles","Ursus_spelaeus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Ursidae","Linnaeus",1758,1,"Rosenmuller",1794,FALSE,FALSE,1005859,100005610,"meles","Carnivora","Meles","species","species","Europe",90654,90654
"1061","Meles_meles","Meles_antediluvianus","Felis_antediluviana",4,"different spelling on genus,different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Felidae","F.-J. Pictet",1853,0,"Kaup",1833,FALSE,FALSE,1005859,100030893,"antediluviana","Carnivora","Meles","synonym","species","Europe",348651,348651
"1062","Mustela_altaica","Mustela_temon","Mustela_meltoni",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","B. H. Hodgson",1857,0,"Bjork",1973,FALSE,FALSE,1005862,100005672,"temon","Carnivora","Mustela","synonym","species","Asia",48858,48858
"1063","Mustela_erminea","Mustela_erminea","Mustela_palermina",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","Linnaeus",1758,0,"Petenyi",1934,FALSE,FALSE,1005863,100005679,"erminea","Carnivora","Mustela","species","species","Asia|Europe|North America",376896,376896
"1064","Mustela_kathiah","Mustela_kathia","Mustela_ogygia",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","B. H. Hodgson",1842,0,"Matthew",1901,FALSE,FALSE,1005869,100029971,"kathia","Carnivora","Mustela","synonym","species","Asia",331004,331004
"1065","Mustela_nivalis","Martes_ictis","Martes_foxi",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","Muirhead",1819,1,"Hibbard_Riggs",1949,FALSE,FALSE,1005874,100059509,"ictis","Carnivora","Mustela","synonym","species","Africa|Asia|Europe|North America",47916,47916
"1066","Mustela_sibirica","Mustela_hamptoni","Mustela_meltoni",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","O. Thomas",1921,0,"Bjork",1973,FALSE,FALSE,1005877,100005886,"hamptoni","Carnivora","Mustela","synonym","species","Asia|Europe",48858,48858
"1067","Nasua_narica","Nasua_nasica","Nasua_pronarica",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Procyonidae","Procyonidae","F. S. Voigt",1819,0,"Dalquest",1978,FALSE,FALSE,1005887,100006272,"nasica","Carnivora","Nasua","synonym","species","North America|South America",49003,49003
"1068","Neogale_felipei","Mustela_felipei","Mustela_meltoni",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Mustelidae","Mustelidae","Izor & de la Torre",1978,1,"Bjork",1973,FALSE,FALSE,1005865,100005895,"felipei","Carnivora","Neogale","species","species","South America",48858,48858
