"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1","Carnivora","(Bowdich 1821)","Carnivora","order","(Bowdich 1821)","BOWDICH","1821","yes"
"2","Monachiopsis","Kretzoi 1941","Monachiopsis","genus","Kretzoi 1941","KRETZOI","1941","no"
"3","Protelidi","Jaekel 1911","Protelidi","suborder","Jaekel 1911","JAEKEL","1911","no"
"4","Adracon","Filhol 1884","Adracon","genus","Filhol 1884","FILHOL","1884","no"
"5","Viverra_memphitis","Linnaeus 1758","Carnivora","order","(Bowdich 1821)","BOWDICH","1821","yes"
"6","Eosictis","Scott 1945","Carnivora","order","(Bowdich 1821)","BOWDICH","1821","yes"
"7","Eosictis_avinoffi","Scott 1945","Eosictis_avinoffi","species","Scott 1945","SCOTT","1945","no"
"8","Caniformia","Kretzoi 1943","Caniformia","suborder","Kretzoi 1943","KRETZOI","1943","no"
"9","Lycophocyon","Tomiya 2011","Lycophocyon","genus","Tomiya 2011","TOMIYA","2011","no"
"10","Lycophocyon_tabrumi","Lofgren et al. 2020","Lycophocyon_tabrumi","species","Lofgren et al. 2020","LOFGREN_ET-AL","2020","no"
"11","Lycophocyon_hutchisoni","Tomiya 2011","Lycophocyon_hutchisoni","species","Tomiya 2011","TOMIYA","2011","no"
"12","Amphicyonidae","Haeckel 1886","Amphicyonidae","family","Haeckel 1886","HAECKEL","1886","no"
"13","Aphicyoninae","Trouessart 1885","Aphicyoninae","subfamily","Trouessart 1885","TROUESSART","1885","no"
"14","Notoamphicyon","Ameghino 1904","Notoamphicyon","genus","Ameghino 1904","AMEGHINO","1904","no"
"15","Notoamphicyon_paranensis","Ameghino 1904","Notoamphicyon_paranensis","species","Ameghino 1904","AMEGHINO","1904","no"
"16","Gustafsonia","Tomiya and Tseng 2016","Gustafsonia","genus","Tomiya and Tseng 2016","TOMIYA_TSENG","2016","no"
"17","Gustafsonia_cognita","(Gustafson 1986)","Gustafsonia_cognita","species","(Gustafson 1986)","GUSTAFSON","1986","yes"
"18","Pseudocyonopsis","Kuss 1965","Pseudocyonopsis","genus","Kuss 1965","KUSS","1965","no"
"19","Pseudocyonopsis_landesquei","Helbing 1928","Pseudocyonopsis_landesquei","species","Helbing 1928","HELBING","1928","no"
"20","Pseudocyonopsis_ambiguus","Ginsburg 1965","Pseudocyonopsis_ambiguus","species","Ginsburg 1965","GINSBURG","1965","no"
"21","Pseudocyonopsis_quercensis","Ginsburg 1965","Pseudocyonopsis_quercensis","species","Ginsburg 1965","GINSBURG","1965","no"
"22","Pseudocyonopsis_antiquus","Ginsburg 1966","Pseudocyonopsis_antiquus","species","Ginsburg 1966","GINSBURG","1966","no"
"23","Pseudamphicyon","Schlosser 1887","Pseudamphicyon","genus","Schlosser 1887","SCHLOSSER","1887","no"
"24","Arctamphicyon","Pilgrim 1932","Arctamphicyon","genus","Pilgrim 1932","PILGRIM","1932","no"
"25","Storchictis","de Bonis 2020","Storchictis","genus","de Bonis 2020","DE-BONIS","2020","no"
"26","Storchictis_miacinus","(de Chardin 1915)","Storchictis_miacinus","species","(de Chardin 1915)","DE-CHARDIN","1915","yes"
"27","Brachycyon","Filhol 1872","Brachycyon","genus","Filhol 1872","FILHOL","1872","no"
"28","Brachycyon_gaudryi","Ginsburg 1966","Brachycyon_gaudryi","species","Ginsburg 1966","GINSBURG","1966","no"
"29","Bonisicyon","Werdelin 2009","Bonisicyon","genus","Werdelin 2009","WERDELIN","2009","no"
"30","Bonisicyon_illacabo","Werdelin 2009","Bonisicyon_illacabo","species","Werdelin 2009","WERDELIN","2009","no"
"31","Cynodictis","Bravard and Pomel 1850","Cynodictis","genus","Bravard and Pomel 1850","BRAVARD_POMEL","1850","no"
"32","Cynodictis_parisiensis","Pomel 1853","Cynodictis_parisiensis","species","Pomel 1853","POMEL","1853","no"
"33","Cynodictis_cayluxensis","Filhol 1876","Cynodictis_cayluxensis","species","Filhol 1876","FILHOL","1876","no"
"34","Cynodictis_longirostris","Filhol 1872","Cynodictis_longirostris","species","Filhol 1872","FILHOL","1872","no"
"35","Cynodictis_crassus","Teilard de Chardin 1915","Cynodictis_crassus","species","Teilard de Chardin 1915","TEILARD-DE-CHARDIN","1915","no"
"36","Cynodictis_exilis","Teilard de Chardin 1915","Cynodictis_exilis","species","Teilard de Chardin 1915","TEILARD-DE-CHARDIN","1915","no"
"37","Cynodictis_peignei","Le Verger et al. 2020","Cynodictis_peignei","species","Le Verger et al. 2020","LE-VERGER_ET-AL","2020","no"
"38","Cynodictis_ferox","Filhol 1876","Cynodictis_ferox","species","Filhol 1876","FILHOL","1876","no"
"39","Cynodictis_(Elocyon)","(Aymard 1849)","Cynodictis_(Elocyon)","subgenus","(Aymard 1849)","AYMARD","1849","yes"
"40","Cynodictis_lacustris","Gervais 1852","Cynodictis_lacustris","species","Gervais 1852","GERVAIS","1852","no"
"41","Cynodictis_lacustris_neboulensis","de Bonis 1978","Cynodictis_lacustris_neboulensis","subspecies","de Bonis 1978","DE-BONIS","1978","no"
"42","Cynodictis_intermedius","Filhol 1876","Cynodictis_lacustris","species","Gervais 1852","GERVAIS","1852","no"
"43","Angelarctocyon","Tomiya and Tseng 2016","Angelarctocyon","genus","Tomiya and Tseng 2016","TOMIYA_TSENG","2016","no"
"44","Angelarctocyon_australis","(Gustafson 1986)","Angelarctocyon_australis","species","(Gustafson 1986)","GUSTAFSON","1986","yes"
"45","Protemnocyon","Hatcher 1901","Protemnocyon","genus","Hatcher 1901","HATCHER","1901","no"
"46","Protemnocyon_inflatus","Hatcher 1902","Protemnocyon_inflatus","species","Hatcher 1902","HATCHER","1902","no"
"47","Aymardia","Trouessart 1904","Aymardia","genus","Trouessart 1904","TROUESSART","1904","no"
"48","Cyotherium","Aymard","Cyotherium","genus","Aymard","AYMARD",NA,"no"
"49","Temnocyoninae","Hunt 1998","Temnocyoninae","subfamily","Hunt 1998","HUNT","1998","no"
"50","Rudiocyon","Hunt 2011","Rudiocyon","genus","Hunt 2011","HUNT","2011","no"
"51","Rudiocyon_amplidens","Hunt 2011","Rudiocyon_amplidens","species","Hunt 2011","HUNT","2011","no"
"52","Delotrochanter","Hunt 2011","Delotrochanter","genus","Hunt 2011","HUNT","2011","no"
"53","Delotrochanter_oryktes","Hunt 2011","Delotrochanter_oryktes","species","Hunt 2011","HUNT","2011","no"
"54","Delotrochanter_petersoni","Hunt 2011","Delotrochanter_petersoni","species","Hunt 2011","HUNT","2011","no"
"55","Delotrochanter_major","Hunt 2011","Delotrochanter_major","species","Hunt 2011","HUNT","2011","no"
"56","Temnocyon","Cope 1878","Temnocyon","genus","Cope 1878","COPE","1878","no"
"57","Temnocyon_altigenis","Cope 1878","Temnocyon_altigenis","species","Cope 1878","COPE","1878","no"
"58","Temnocyon_percussor","Cook 1909","Temnocyon_percussor","species","Cook 1909","COOK","1909","no"
"59","Temnocyon_subferox","Hunt 2011","Temnocyon_subferox","species","Hunt 2011","HUNT","2011","no"
"60","Temnocyon_typicus","Loomis 1936","Temnocyon_typicus","species","Loomis 1936","LOOMIS","1936","no"
"61","Temnocyon_macrogenys","Hunt 2011","Temnocyon_macrogenys","species","Hunt 2011","HUNT","2011","no"
"62","Temnocyon_ferox","Eyermann 1896","Temnocyon_ferox","species","Eyermann 1896","EYERMANN","1896","no"
"63","Temnocyon_fingeruti","Hunt 2011","Temnocyon_fingeruti","species","Hunt 2011","HUNT","2011","no"
"64","Mammacyon","Loomis 1936","Mammacyon","genus","Loomis 1936","LOOMIS","1936","no"
"65","Mammacyon_ferocior","Hunt 2011","Mammacyon_ferocior","species","Hunt 2011","HUNT","2011","no"
"66","Mammacyon_obtusidens","Loomis 1936","Mammacyon_obtusidens","species","Loomis 1936","LOOMIS","1936","no"
"67","Amphicyanis","Springhorn 1977","Amphicyanis","genus","Springhorn 1977","SPRINGHORN","1977","no"
"68","Daphoeninae","Hunt 1998","Daphoeninae","subfamily","Hunt 1998","HUNT","1998","no"
"69","Brachyrhynchocyon","Scott and Jepsen 1936","Brachyrhynchocyon","genus","Scott and Jepsen 1936","SCOTT_JEPSEN","1936","no"
"70","Brachyrhynchocyon_montanus","Hunt 1996","Brachyrhynchocyon_montanus","species","Hunt 1996","HUNT","1996","no"
"71","Brachyrhynchocyon_dodgei","(Scott 1898)","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"72","Daphoenus_canadensis","Russell 1934","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"73","Daphoenocyon_minor","Clark and et al 1967","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"74","Miacis_matthewi","Schlaikjer 1935","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"75","Brachicyon","Loomis 1931","Brachyrhynchocyon","genus","Scott and Jepsen 1936","SCOTT_JEPSEN","1936","no"
"76","Daphoenocyon","Hough 1948","Brachyrhynchocyon","genus","Scott and Jepsen 1936","SCOTT_JEPSEN","1936","no"
"77","Brachyrhynchocyon_intermedius","(Loomis 1931)","Brachyrhynchocyon_intermedius","species","(Loomis 1931)","LOOMIS","1931","yes"
"78","Daphoenodon","Peterson 1909","Daphoenodon","genus","Peterson 1909","PETERSON","1909","no"
"79","Daphoenodon_falkenbachi","Hunt 2002","Daphoenodon_falkenbachi","species","Hunt 2002","HUNT","2002","no"
"80","Daphoenodon_superbus","(Peterson 1907)","Daphoenodon_superbus","species","(Peterson 1907)","PETERSON","1907","yes"
"81","Daphoenodon_periculosus","Cook 1909","Daphoenodon_superbus","species","(Peterson 1907)","PETERSON","1907","yes"
"82","Daphoenodon_skinneri","Hunt 2002","Daphoenodon_skinneri","species","Hunt 2002","HUNT","2002","no"
"83","Daphoenodon_notionastes","Frailey 1979","Daphoenodon_notionastes","species","Frailey 1979","FRAILEY","1979","no"
"84","Daphoenodon_(Borocyon)","(Peterson 1910)","Daphoenodon_(Borocyon)","subgenus","(Peterson 1910)","PETERSON","1910","yes"
"85","Daphoenodon_(Borocyon)_niobrarensis","(Loomis 1936)","Daphoenodon_(Borocyon)_niobrarensis","species","(Loomis 1936)","LOOMIS","1936","yes"
"86","Daphoenodon_(Borocyon)_neomexicanus","Hunt 2009","Daphoenodon_(Borocyon)_neomexicanus","species","Hunt 2009","HUNT","2009","no"
"87","Daphoenodon_(Borocyon)_robustum","(Peterson 1910)","Daphoenodon_(Borocyon)_robustum","species","(Peterson 1910)","PETERSON","1910","yes"
"88","Paradaphoenus","Wortman and Matthew 1899","Paradaphoenus","genus","Wortman and Matthew 1899","WORTMAN_MATTHEW","1899","no"
"89","Paradaphoenus_minimus","(Hough 1948)","Paradaphoenus_minimus","species","(Hough 1948)","HOUGH","1948","yes"
"90","Paradaphoenus_tooheyi","Hunt 2001","Paradaphoenus_tooheyi","species","Hunt 2001","HUNT","2001","no"
"91","Paradaphoenus_cuspigerus","(Cope 1878)","Paradaphoenus_cuspigerus","species","(Cope 1878)","COPE","1878","yes"
"92","Amphicyon_entoptychi","Cope 1879","Paradaphoenus_cuspigerus","species","(Cope 1878)","COPE","1878","yes"
"93","Daphoenus","Leidy 1853","Daphoenus","genus","Leidy 1853","LEIDY","1853","no"
"94","Daphoenus_socialis","(Thorpe 1922)","Daphoenus_socialis","species","(Thorpe 1922)","THORPE","1922","yes"
"95","Proamphicyon","Hatcher 1902","Daphoenus","genus","Leidy 1853","LEIDY","1853","no"
"96","Daphoenus_vetus","(Leidy 1853)","Daphoenus_vetus","species","(Leidy 1853)","LEIDY","1853","yes"
"97","Proamphicyon_nebrascensis","Hatcher 1902","Daphoenus_vetus","species","(Leidy 1853)","LEIDY","1853","yes"
"98","Daphoenus_hartshornianus","(Cope 1873)","Daphoenus_hartshornianus","species","(Cope 1873)","COPE","1873","yes"
"99","Daphoenus_transversus","(Wortman and Matthew 1899)","Daphoenus_transversus","species","(Wortman and Matthew 1899)","WORTMAN_MATTHEW","1899","yes"
"100","Canis_lippincottianus","(Cope 1873)","Daphoenus","genus","Leidy 1853","LEIDY","1853","no"
"101","Daphoenus_gracilis","Roger 1896","Daphoenus","genus","Leidy 1853","LEIDY","1853","no"
"102","Daphoenus_ruber","Stock 1932","Daphoenus_ruber","species","Stock 1932","STOCK","1932","no"
"103","Daphoenus_robustus","Scott 1897","Daphoenus_robustus","species","Scott 1897","SCOTT","1897","no"
"104","Daphoenus_lambei","Russell 1934","Daphoenus_lambei","species","Russell 1934","RUSSELL","1934","no"
"105","Daphoenus_felinus","Scott 1898","Daphoenus_felinus","species","Scott 1898","SCOTT","1898","no"
"106","Pericyon","Thorpe 1922","Daphoenus","genus","Leidy 1853","LEIDY","1853","no"
"107","Daphoenus_demilo","Dawson 1980","Daphoenus_demilo","species","Dawson 1980","DAWSON","1980","no"
"108","Adilophontes","Hunt 2002","Adilophontes","genus","Hunt 2002","HUNT","2002","no"
"109","Adilophontes_brachykolos","Hunt 2002","Adilophontes_brachykolos","species","Hunt 2002","HUNT","2002","no"
"110","Daphoenictis","Hunt 1974","Daphoenictis","genus","Hunt 1974","HUNT","1974","no"
"111","Daphoenictis_tedfordi","Hunt 1974","Daphoenictis_tedfordi","species","Hunt 1974","HUNT","1974","no"
"112","Guangxicyon","Zhai et al. 2003","Guangxicyon","genus","Zhai et al. 2003","ZHAI_ET-AL","2003","no"
"113","Guangxicyon_sinoamericanus","Zhai et al. 2003","Guangxicyon_sinoamericanus","species","Zhai et al. 2003","ZHAI_ET-AL","2003","no"
"114","Harpagophagus","De Bonis 1971","Harpagophagus","genus","De Bonis 1971","DE-BONIS","1971","no"
"115","Harpagophagus_sanguinensis","De Bonis 1971","Harpagophagus_sanguinensis","species","De Bonis 1971","DE-BONIS","1971","no"
"116","Thaumastocyoninae","Hurzeller 1940","Thaumastocyoninae","subfamily","Hurzeller 1940","HURZELLER","1940","no"
"117","Crassidia","Heizmann and Kordikova 2000","Crassidia","genus","Heizmann and Kordikova 2000","HEIZMANN_KORDIKOVA","2000","no"
"118","Crassidia_intermedia","(von Meyer 1849)","Crassidia_intermedia","species","(von Meyer 1849)","VON-MEYER","1849","yes"
"119","Ysengrinia","Ginsburg 1965","Ysengrinia","genus","Ginsburg 1965","GINSBURG","1965","no"
"120","Ysengrinia_americana","(Wortman 1901)","Ysengrinia_americana","species","(Wortman 1901)","WORTMAN","1901","yes"
"121","Ysengrinia_gerandiana","(Viret 1929)","Ysengrinia_gerandiana","species","(Viret 1929)","VIRET","1929","yes"
"122","Ysengrinia_valentiana","Belinchon and Morales 1989","Ysengrinia_valentiana","species","Belinchon and Morales 1989","BELINCHON_MORALES","1989","no"
"123","Ysengrinia_tolosana","(Noulet 1876)","Ysengrinia_tolosana","species","(Noulet 1876)","NOULET","1876","yes"
"124","Ysengrinia_depereti","(Mayet 1908)","Ysengrinia_depereti","species","(Mayet 1908)","MAYET","1908","yes"
"125","Peignecyon","Morales et al. 2019","Peignecyon","genus","Morales et al. 2019","MORALES_ET-AL","2019","no"
"126","Peignecyon_felinoides","Morales et al. 2019","Peignecyon_felinoides","species","Morales et al. 2019","MORALES_ET-AL","2019","no"
"127","Tomocyon","Viret 1929","Tomocyon","genus","Viret 1929","VIRET","1929","no"
"128","Tomocyon_grivensis","Viret 1929","Tomocyon_grivensis","species","Viret 1929","VIRET","1929","no"
"129","Thaumastocyon","Stehlin and Helbing 1925","Thaumastocyon","genus","Stehlin and Helbing 1925","STEHLIN_HELBING","1925","no"
"130","Thaumastocyon_bourgeoisi","Stehlin and Helbing 1925","Thaumastocyon_bourgeoisi","species","Stehlin and Helbing 1925","STEHLIN_HELBING","1925","no"
"131","Thaumastocyon_dirus","Ginsburg et al. 1981","Thaumastocyon_dirus","species","Ginsburg et al. 1981","GINSBURG_ET-AL","1981","no"
"132","Ammitocyon","Morales  et al. 2021","Ammitocyon","genus","Morales  et al. 2021","MORALES_ET-AL","2021","no"
"133","Ammitocyon_kainos","Morales  et al. 2021","Ammitocyon_kainos","species","Morales  et al. 2021","MORALES_ET-AL","2021","no"
"134","Agnotherium","Kaup 1833","Agnotherium","genus","Kaup 1833","KAUP","1833","no"
"135","Agnotherium_grivense","Viret 1929","Agnotherium_grivense","species","Viret 1929","VIRET","1929","no"
"136","Agnotherium_antiquum","Kaup 1832","Agnotherium_antiquum","species","Kaup 1832","KAUP","1832","no"
"137","Amphicyon_agnotus","Pomel 1853","Agnotherium_antiquum","species","Kaup 1832","KAUP","1832","no"
"138","Symplectocyon","Springhorn 1979","Symplectocyon","genus","Springhorn 1979","SPRINGHORN","1979","no"
"139","Amphicyoninae","Trouessart 1885","Amphicyoninae","subfamily","Trouessart 1885","TROUESSART","1885","no"
"140","Ischyrocyon","Matthew and Gidley 1904","Ischyrocyon","genus","Matthew and Gidley 1904","MATTHEW_GIDLEY","1904","no"
"141","Hadrocyon","Stock and Furlong 1926","Ischyrocyon","genus","Matthew and Gidley 1904","MATTHEW_GIDLEY","1904","no"
"142","Ischyrocyon_gidleyi","(Matthew 1902)","Ischyrocyon_gidleyi","species","(Matthew 1902)","MATTHEW","1902","yes"
"143","Pliocyon_walkerae","Johnston and Christian 1941","Ischyrocyon_gidleyi","species","(Matthew 1902)","MATTHEW","1902","yes"
"144","Hadrocyon_mohavensis","(Stock and Furlong 1926)","Ischyrocyon_gidleyi","species","(Matthew 1902)","MATTHEW","1902","yes"
"145","Ischyrocyon_hyaenodus","Matthew and Gidley 1904","Ischyrocyon_gidleyi","species","(Matthew 1902)","MATTHEW","1902","yes"
"146","Thaumastocyonini","Ginsburg 1977","Thaumastocyonini","tribe","Ginsburg 1977","GINSBURG","1977","no"
"147","Pseudocyon","Lartet 1851","Pseudocyon","genus","Lartet 1851","LARTET","1851","no"
"148","Pseudocyon_steinheimensis","Fraas 1885","Pseudocyon_steinheimensis","species","Fraas 1885","FRAAS","1885","no"
"149","Pseudocyon_caucasicus","Gabunia 1973","Pseudocyon_caucasicus","species","Gabunia 1973","GABUNIA","1973","no"
"150","Pseudocyon_sansaniensis","Lartet 1851","Pseudocyon_sansaniensis","species","Lartet 1851","LARTET","1851","no"
"151","Amphicyonopsis","Viret 1929","Pseudocyon","genus","Lartet 1851","LARTET","1851","no"
"152","Magericyon","PeignÃ© et al. 2008","Magericyon","genus","PeignÃ© et al. 2008","PEIGNA(C)_ET-AL","2008","no"
"153","Magericyon_anceps","PeignÃ© et al. 2008","Magericyon_anceps","species","PeignÃ© et al. 2008","PEIGNA(C)_ET-AL","2008","no"
"154","Magericyon_castellanus","(Fraile 1997)","Magericyon_castellanus","species","(Fraile 1997)","FRAILE","1997","yes"
"155","Myacyon","Sudre and Hartenberger 1992","Myacyon","genus","Sudre and Hartenberger 1992","SUDRE_HARTENBERGER","1992","no"
"156","Myacyon_peignei","Werdelin 2019","Myacyon_peignei","species","Werdelin 2019","WERDELIN","2019","no"
"157","Myacyon_kiptalami","(Morales and Pickford 2005)","Myacyon_kiptalami","species","(Morales and Pickford 2005)","MORALES_PICKFORD","2005","yes"
"158","Pseudarctini","Morales et al. 2021","Pseudarctini","tribe","Morales et al. 2021","MORALES_ET-AL","2021","no"
"159","Dehmicyon","Morales et al. 2021","Dehmicyon","genus","Morales et al. 2021","MORALES_ET-AL","2021","no"
"160","Dehmicyon_schlosseri","(Dehm 1950)","Dehmicyon_schlosseri","species","(Dehm 1950)","DEHM","1950","yes"
"161","Ictiocyon","Crusafont Pairo et al. 1955","Ictiocyon","genus","Crusafont Pairo et al. 1955","CRUSAFONT-PAIRO_ET-AL","1955","no"
"162","Ictiocyon_socialis","Dehm 1950","Ictiocyon_socialis","species","Dehm 1950","DEHM","1950","no"
"163","Pseudarctos","Schlosser 1899","Pseudarctos","genus","Schlosser 1899","SCHLOSSER","1899","no"
"164","Pseudarctos_bavaricus","Schlosser 1899","Pseudarctos_bavaricus","species","Schlosser 1899","SCHLOSSER","1899","no"
"165","Afrocyon","Arambourg 1961","Afrocyon","genus","Arambourg 1961","ARAMBOURG","1961","no"
"166","Afrocyon_macrodon","(Savage 1965)","Afrocyon_macrodon","species","(Savage 1965)","SAVAGE","1965","yes"
"167","Afrocyon_burolleti","Arambourg 1961","Afrocyon_burolleti","species","Arambourg 1961","ARAMBOURG","1961","no"
"168","Amphicyonini","Trouessart 1885","Amphicyonini","tribe","Trouessart 1885","TROUESSART","1885","no"
"169","Cynelos","Jourdan 1862","Cynelos","genus","Jourdan 1862","JOURDAN","1862","no"
"170","Cynelos_quercensis","Ginsburg 1966","Cynelos_quercensis","species","Ginsburg 1966","GINSBURG","1966","no"
"171","Cynelos_crassidens","Filhol 1874","Cynelos_crassidens","species","Filhol 1874","FILHOL","1874","no"
"172","Cynelos_lemanensis","(Pomel 1846)","Cynelos_lemanensis","species","(Pomel 1846)","POMEL","1846","yes"
"173","Cynelos_lemanensis_helbingi","Dehm 1950","Cynelos_lemanensis_helbingi","subspecies","Dehm 1950","DEHM","1950","no"
"174","Amphicyon_acutidens","Dehm 1950","Cynelos_lemanensis_helbingi","subspecies","Dehm 1950","DEHM","1950","no"
"175","Cynelos_lemanensis_lemanensis","(Pomel 1846)","Cynelos_lemanensis_lemanensis","subspecies","(Pomel 1846)","POMEL","1846","yes"
"176","Cynelos_rugosidens","Schlosser 1899","Cynelos_rugosidens","species","Schlosser 1899","SCHLOSSER","1899","no"
"177","Cynelos_stenos","Hunt and Yatkola 2020","Cynelos_stenos","species","Hunt and Yatkola 2020","HUNT_YATKOLA","2020","no"
"178","Cynelos_idoneus","(Matthew 1924)","Cynelos_idoneus","species","(Matthew 1924)","MATTHEW","1924","yes"
"179","Hecubides","Savage 1965","Cynelos","genus","Jourdan 1862","JOURDAN","1862","no"
"180","Hecubides_euryodon","Savage 1965","Hecubides_euryodon","species","Savage 1965","SAVAGE","1965","no"
"181","Hecubides_macrodon","Savage 1965","Hecubides_macrodon","species","Savage 1965","SAVAGE","1965","no"
"182","Cynelos_malasi","Hunt and Stepleton 2015","Cynelos_malasi","species","Hunt and Stepleton 2015","HUNT_STEPLETON","2015","no"
"183","Cynelos_helbingi","Dehm 1950","Cynelos_helbingi","species","Dehm 1950","DEHM","1950","no"
"184","Absonodaphoenus","Olsen 1958","Cynelos","genus","Jourdan 1862","JOURDAN","1862","no"
"185","Cynelos_caroniavorus","(White 1942)","Cynelos_caroniavorus","species","(White 1942)","WHITE","1942","yes"
"186","Parictis_bathygenus","(White 1947)","Cynelos_caroniavorus","species","(White 1942)","WHITE","1942","yes"
"187","Cynelos_sinapius","(Matthew 1902)","Cynelos_sinapius","species","(Matthew 1902)","MATTHEW","1902","yes"
"188","Amphicyon_amnicola","(Matthew and Cook 1909)","Cynelos_sinapius","species","(Matthew 1902)","MATTHEW","1902","yes"
"189","Cynelos_euryodon","Savage 1965","Cynelos_euryodon","species","Savage 1965","SAVAGE","1965","no"
"190","Cynelos_schlosseri","Dehm 1950","Cynelos_schlosseri","species","Dehm 1950","DEHM","1950","no"
"191","Cynelos_piveteaui","Ginsburg 1965","Cynelos_piveteaui","species","Ginsburg 1965","GINSBURG","1965","no"
"192","Paludocyon","Morales et al. 2021","Paludocyon","genus","Morales et al. 2021","MORALES_ET-AL","2021","no"
"193","Paludocyon_bohemicus","(Schlosser 1899)","Paludocyon_bohemicus","species","(Schlosser 1899)","SCHLOSSER","1899","yes"
"194","Amphicyon","Lartet 1836","Amphicyon","genus","Lartet 1836","LARTET","1836","no"
"195","Amphicyon_riggsi","McGrew 1939","Amphicyon_riggsi","species","McGrew 1939","MCGREW","1939","no"
"196","Amphicyon_longiramus","White 1942","Amphicyon_longiramus","species","White 1942","WHITE","1942","no"
"197","Amphicyon_argentinus","Ameghino 1904","Amphicyon_argentinus","species","Ameghino 1904","AMEGHINO","1904","no"
"198","Amphicyon_olisiponensis","Antunes and Ginsburg 1977","Amphicyon_olisiponensis","species","Antunes and Ginsburg 1977","ANTUNES_GINSBURG","1977","no"
"199","Amphicyon_intermedius","White 1940","Amphicyon_intermedius","species","White 1940","WHITE","1940","no"
"200","Amphicyon_laugnacensis","Ginsburg 1999","Amphicyon_laugnacensis","species","Ginsburg 1999","GINSBURG","1999","no"
"201","Amphicyon_frendens","Matthew 1924","Amphicyon_frendens","species","Matthew 1924","MATTHEW","1924","no"
"202","Amphicyon_lathanicus","Ginsburg 2000","Amphicyon_lathanicus","species","Ginsburg 2000","GINSBURG","2000","no"
"203","Amphicyon_gracilis","Pomel 1847","Amphicyon_gracilis","species","Pomel 1847","POMEL","1847","no"
"204","Amphicyon_giganteus","Schinz 1825","Amphicyon_giganteus","species","Schinz 1825","SCHINZ","1825","no"
"205","Amphicyon_pontoni","Simpson 1930","Amphicyon_pontoni","species","Simpson 1930","SIMPSON","1930","no"
"206","Amphicyon_ingens","Matthew 1924","Amphicyon_ingens","species","Matthew 1924","MATTHEW","1924","no"
"207","Amphicyon_major","De Blainville 1841","Amphicyon_major","species","De Blainville 1841","DE-BLAINVILLE","1841","no"
"208","Amphicyon_major_eppelsheimensis","(Weitzel 1930)","Amphicyon_major_eppelsheimensis","subspecies","(Weitzel 1930)","WEITZEL","1930","yes"
"209","Amphicyon_cultridens","Pomel 1853","Amphicyon_major","species","De Blainville 1841","DE-BLAINVILLE","1841","no"
"210","Amphicyon_major_major","Blainville 1841","Amphicyon_major_major","subspecies","Blainville 1841","BLAINVILLE","1841","no"
"211","Amphicyon_galushai","Hunt 2003","Amphicyon_galushai","species","Hunt 2003","HUNT","2003","no"
"212","Amphicyon_palaeindicus","Falconer and Lydekker 1876","Amphicyon_palaeindicus","species","Falconer and Lydekker 1876","FALCONER_LYDEKKER","1876","no"
"213","Amphicyon_zhanxiangi","Jiangzuo et al. 2018","Amphicyon_zhanxiangi","species","Jiangzuo et al. 2018","JIANGZUO_ET-AL","2018","no"
"214","Amphicyon_(Euroamphicyon)","(Ginsburg 1999)","Amphicyon_(Euroamphicyon)","subgenus","(Ginsburg 1999)","GINSBURG","1999","yes"
"215","Amphicyon_reinheimeri","Cook 1926","Amphicyon_reinheimeri","species","Cook 1926","COOK","1926","no"
"216","Amphicyon_ambiguus","Filhol 1877","Amphicyon_ambiguus","species","Filhol 1877","FILHOL","1877","no"
"217","Goupilictis","Ginsburg 1969","Goupilictis","genus","Ginsburg 1969","GINSBURG","1969","no"
"218","Goupilictis_minor","(Dehm 1935)","Goupilictis_minor","species","(Dehm 1935)","DEHM","1935","yes"
"219","Pliocyon","Matthew 1918","Pliocyon","genus","Matthew 1918","MATTHEW","1918","no"
"220","Pliocyon_medius","Matthew 1918","Pliocyon_medius","species","Matthew 1918","MATTHEW","1918","no"
"221","Pliocyon_ossifragus","(Douglass 1903)","Pliocyon_ossifragus","species","(Douglass 1903)","DOUGLASS","1903","yes"
"222","Pliocyon_robustus","Berta and Galiano 1984","Pliocyon_robustus","species","Berta and Galiano 1984","BERTA_GALIANO","1984","no"
"223","Tartarocyon","SoleÌ et al. 2022","Tartarocyon","genus","SoleÌ et al. 2022","SOLEI_ET-AL","2022","no"
"224","Tartarocyon_cazanavei","SoleÌ et al. 2022","Tartarocyon_cazanavei","species","SoleÌ et al. 2022","SOLEI_ET-AL","2022","no"
"225","Vishnucyon","Pilgrim 1932","Vishnucyon","genus","Pilgrim 1932","PILGRIM","1932","no"
"226","Mogharacyon","Morales and Pickford 2022","Mogharacyon","genus","Morales and Pickford 2022","MORALES_PICKFORD","2022","no"
"227","Mogharacyon_anubisi","(Morlo and Miller 2019)","Mogharacyon_anubisi","species","(Morlo and Miller 2019)","MORLO_MILLER","2019","yes"
"228","Megamphicyon","Kuss 1965","Megamphicyon","genus","Kuss 1965","KUSS","1965","no"
