"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1056","Eomellivora_liguritor","Crusafont-Pairo and Ginsburg 1973","Eomellivora_piveteaui","species","Ozansoy 1965","OZANSOY","1965","no"
"1057","Perunium","Orlov 1947","Eomellivora","genus","Zdansky 1924","ZDANSKY","1924","no"
"1058","Eomellivora_wimani","Zdansky 1924","Eomellivora_wimani","species","Zdansky 1924","ZDANSKY","1924","no"
"1059","Eomellivora_orlovi","Kretzoi 1965","Eomellivora_wimani","species","Zdansky 1924","ZDANSKY","1924","no"
"1060","Eomellivora_rumana","Simionescu 1938","Eomellivora_wimani","species","Zdansky 1924","ZDANSKY","1924","no"
"1061","Eomellivora_tugenensis","Morales and Pickford 2005","Eomellivora_tugenensis","species","Morales and Pickford 2005","MORALES_PICKFORD","2005","no"
"1062","Eomellivora_ursogulo","(Orlov 1948)","Eomellivora_ursogulo","species","(Orlov 1948)","ORLOV","1948","yes"
"1063","Moralesictis","Valenciano and Baskin 2022","Moralesictis","genus","Valenciano and Baskin 2022","VALENCIANO_BASKIN","2022","no"
"1064","Moralesictis_intrepidus","Valenciano and Baskin 2022","Moralesictis_intrepidus","species","Valenciano and Baskin 2022","VALENCIANO_BASKIN","2022","no"
"1065","Mellivorini","Valenciano and Govender 2020","Mellivorini","tribe","Valenciano and Govender 2020","VALENCIANO_GOVENDER","2020","no"
"1066","Mellivora","Storr 1780","Mellivora","genus","Storr 1780","STORR","1780","no"
"1067","Mellivora_indica","(Kerr 1792)","Mellivora_indica","species","(Kerr 1792)","KERR","1792","yes"
"1068","Mellivora_punjabiensis","Lydekker 1884","Mellivora_punjabiensis","species","Lydekker 1884","LYDEKKER","1884","no"
"1069","Mellivora_benfieldi","Hendy 1978","Mellivora_benfieldi","species","Hendy 1978","HENDY","1978","no"
"1070","Mellivora_capensis","(Schreber 1776)","Mellivora_capensis","species","(Schreber 1776)","SCHREBER","1776","yes"
"1071","Howellictis","de Bonis et al. 2009","Howellictis","genus","de Bonis et al. 2009","DE-BONIS_ET-AL","2009","no"
"1072","Howellictis_valentini","de Bonis et al. 2009","Howellictis_valentini","species","de Bonis et al. 2009","DE-BONIS_ET-AL","2009","no"
"1073","Hoplictis","Ginsburg 1961","Hoplictis","genus","Ginsburg 1961","GINSBURG","1961","no"
