"pbdb_flags","pbdb_taxon_no","pbdb_taxon_rank","pbdb_taxon_name","pbdb_taxon_attr","pbdb_difference","pbdb_accepted_no","pbdb_accepted_rank","pbdb_accepted_name","pbdb_parent_name","pbdb_immpar_name","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_taxon_author_parentheses","pbdb_taxon_author_name","pbdb_taxon_author_year","pbdb_accepted_author_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_alternative_synonym","pbdb_genus_difference"
NA,475277,"species","Lycaon_sekowei","Hartstone-Rose et al. 2010",NA,475277,"species","Lycaon_sekowei","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",FALSE,"Hartstone-Rose_et-al","2010",FALSE,"Hartstone-Rose_et-al","2010","Lycaon_sekowei",FALSE
NA,433175,"species","Lycaon_magnus","Ewer and Singer 1956",NA,433175,"species","Lycaon_magnus","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",FALSE,"Ewer_Singer","1956",FALSE,"Ewer_Singer","1956","Lycaon_magnus",FALSE
"V",231462,"species","Hyaena_picta","(Temminck 1820)","recombined as",231462,"species","Lycaon_pictus","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",TRUE,"Temminck","1820",TRUE,"Temminck","1820","Lycaon_pictus",FALSE
NA,231463,"species","Lycaon_pictus","(Temminck 1820)",NA,231462,"species","Lycaon_pictus","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",TRUE,"Temminck","1820",TRUE,"Temminck","1820","Lycaon_pictus",FALSE
NA,94469,"species","Cynotherium_sardous","Studiati 1857",NA,94469,"species","Cynotherium_sardous","Cynotherium",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynotherium",FALSE,"Studiati","1857",FALSE,"Studiati","1857","Cynotherium_sardous",FALSE
NA,475276,"species","Cynotherium_malatestai","Madurell-Malapeira et al. 2015",NA,475276,"species","Cynotherium_malatestai","Cynotherium",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynotherium",FALSE,"Madurell-Malapeira_et-al","2015",FALSE,"Madurell-Malapeira_et-al","2015","Cynotherium_malatestai",FALSE
NA,287419,"species","Cubacyon_transversidens","Arredondo and Varona 1974",NA,287419,"species","Cubacyon_transversidens","Cubacyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Cubacyon",FALSE,"Arredondo_Varona","1974",FALSE,"Arredondo_Varona","1974","Cubacyon_transversidens",FALSE
NA,48330,"species","Mesocyon_brachyops","Merriam 1906",NA,48330,"species","Mesocyon_brachyops","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",FALSE,"Merriam","1906",FALSE,"Merriam","1906","Mesocyon_brachyops",FALSE
NA,48329,"species","Mesocyon_baileyi","Stock 1933","subjective synonym of",48330,"species","Mesocyon_brachyops","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",FALSE,"Stock","1933",FALSE,"Merriam","1906","Mesocyon_brachyops",FALSE
"V",46082,"species","Enhydrocyon_coryphaeus","(Cope 1879)","recombined as",52161,"species","Mesocyon_coryphaeus","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Mesocyon_coryphaeus",FALSE
"V",47250,"species","Hypotemnodon_coryphaeus","(Cope 1879)","recombined as",52161,"species","Mesocyon_coryphaeus","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Mesocyon_coryphaeus",FALSE
NA,48331,"species","Mesocyon_coryphaeus","(Cope 1879)",NA,52161,"species","Mesocyon_coryphaeus","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Mesocyon_coryphaeus",FALSE
"V",52161,"species","Temnocyon_coryphaeus","(Cope 1879)","recombined as",52161,"species","Mesocyon_coryphaeus","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Mesocyon_coryphaeus",FALSE
NA,225129,"subspecies","Mesocyon_josephi_secundus","Thorpe 1922","invalid subgroup of",52161,"species","Mesocyon_coryphaeus","Mesocyon coryphaeus",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",FALSE,"Thorpe","1922",TRUE,"Cope","1879","Mesocyon_coryphaeus",FALSE
"V",45477,"species","Cynodictis_temnodon","(Wortman and Matthew 1899)","recombined as",45477,"species","Mesocyon_temnodon","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Wortman_Matthew","1899",TRUE,"Wortman_Matthew","1899","Mesocyon_temnodon",FALSE
"V",46916,"species","Hesperocyon_temnodon","(Wortman and Matthew 1899)","recombined as",45477,"species","Mesocyon_temnodon","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Wortman_Matthew","1899",TRUE,"Wortman_Matthew","1899","Mesocyon_temnodon",FALSE
NA,48338,"species","Mesocyon_temnodon","(Wortman and Matthew 1899)",NA,45477,"species","Mesocyon_temnodon","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Wortman_Matthew","1899",TRUE,"Wortman_Matthew","1899","Mesocyon_temnodon",FALSE
"V",49218,"species","Nothocyon_temnodon","(Wortman and Matthew 1899)","recombined as",45477,"species","Mesocyon_temnodon","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Wortman_Matthew","1899",TRUE,"Wortman_Matthew","1899","Mesocyon_temnodon",FALSE
"V",51187,"species","Pseudocynodictis_temnodon","(Wortman and Matthew 1899)","recombined as",45477,"species","Mesocyon_temnodon","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Wortman_Matthew","1899",TRUE,"Wortman_Matthew","1899","Mesocyon_temnodon",FALSE
NA,45461,"species","Cynodesmus_martini","Wang 1994",NA,45461,"species","Cynodesmus_martini","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",FALSE,"Wang","1994",FALSE,"Wang","1994","Cynodesmus_martini",FALSE
NA,45466,"species","Cynodesmus_thooides","(Scott 1893)",NA,45466,"species","Cynodesmus_thooides","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",TRUE,"Scott","1893",TRUE,"Scott","1893","Cynodesmus_thooides",FALSE
"V",48339,"species","Mesocyon_thooides","(Scott 1893)","recombined as",45466,"species","Cynodesmus_thooides","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",TRUE,"Scott","1893",TRUE,"Scott","1893","Cynodesmus_thooides",FALSE
NA,44684,"species","Brachyrhynchocyon_douglasi","Macdonald 1970","subjective synonym of",45466,"species","Cynodesmus_thooides","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",FALSE,"Macdonald","1970",TRUE,"Scott","1893","Cynodesmus_thooides",FALSE
"V",45544,"species","Daphoenus_drummondanus","(Douglass 1903)","subjective synonym of",45466,"species","Cynodesmus_thooides","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",TRUE,"Douglass","1903",TRUE,"Scott","1893","Cynodesmus_thooides",FALSE
NA,48332,"species","Mesocyon_drummondanus","(Douglass 1903)","subjective synonym of",45466,"species","Cynodesmus_thooides","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",TRUE,"Douglass","1903",TRUE,"Scott","1893","Cynodesmus_thooides",FALSE
NA,51891,"species","Sunkahetanka_sheffleri","Macdonald 1967","subjective synonym of",45466,"species","Cynodesmus_thooides","Cynodesmus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",FALSE,"Macdonald","1967",TRUE,"Scott","1893","Cynodesmus_thooides",FALSE
NA,49464,"species","Osbornodon_renjiei","Wang 1994",NA,49464,"species","Osbornodon_renjiei","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",FALSE,"Wang","1994",FALSE,"Wang","1994","Osbornodon_renjiei",FALSE
"V",45459,"species","Cynodesmus_iamonensis","(Sellards 1916)","recombined as",48335,"species","Osbornodon_iamonensis","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Sellards","1916",TRUE,"Sellards","1916","Osbornodon_iamonensis",FALSE
"V",48335,"species","Mesocyon_iamonensis","(Sellards 1916)","recombined as",48335,"species","Osbornodon_iamonensis","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Sellards","1916",TRUE,"Sellards","1916","Osbornodon_iamonensis",FALSE
NA,49463,"species","Osbornodon_iamonensis","(Sellards 1916)",NA,48335,"species","Osbornodon_iamonensis","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Sellards","1916",TRUE,"Sellards","1916","Osbornodon_iamonensis",FALSE
NA,45463,"species","Cynodesmus_nobilis","(Simpson 1932)","subjective synonym of",48335,"species","Osbornodon_iamonensis","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Simpson","1932",TRUE,"Sellards","1916","Osbornodon_iamonensis",FALSE
"V",49806,"species","Paradaphoenus_nobilis","(Simpson 1932)","subjective synonym of",48335,"species","Osbornodon_iamonensis","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Simpson","1932",TRUE,"Sellards","1916","Osbornodon_iamonensis",FALSE
NA,49809,"species","Paradaphoenus_tropicalis","White 1942","subjective synonym of",48335,"species","Osbornodon_iamonensis","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",FALSE,"White","1942",TRUE,"Sellards","1916","Osbornodon_iamonensis",FALSE
"V",44687,"species","Brachyrhynchocyon_sesnoni","(Macdonald 1967)","recombined as",44687,"species","Osbornodon_sesnoni","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Macdonald","1967",TRUE,"Macdonald","1967","Osbornodon_sesnoni",FALSE
NA,49465,"species","Osbornodon_sesnoni","(Macdonald 1967)",NA,44687,"species","Osbornodon_sesnoni","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Macdonald","1967",TRUE,"Macdonald","1967","Osbornodon_sesnoni",FALSE
"V",44829,"species","Canis_brachypus","(Cope 1881)","recombined as",44829,"species","Osbornodon_brachypus","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Cope","1881",TRUE,"Cope","1881","Osbornodon_brachypus",FALSE
"V",45453,"species","Cynodesmus_brachypus","(Cope 1881)","recombined as",44829,"species","Osbornodon_brachypus","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Cope","1881",TRUE,"Cope","1881","Osbornodon_brachypus",FALSE
NA,49461,"species","Osbornodon_brachypus","(Cope 1881)",NA,44829,"species","Osbornodon_brachypus","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Cope","1881",TRUE,"Cope","1881","Osbornodon_brachypus",FALSE
NA,49466,"species","Osbornodon_wangi","Hayes 2000",NA,49466,"species","Osbornodon_wangi","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",FALSE,"Hayes","2000",FALSE,"Hayes","2000","Osbornodon_wangi",FALSE
"V",52181,"species","Tephrocyon_scitulus","(Hay 1924)","recombined as",52181,"species","Osbornodon_scitulus","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Hay","1924",TRUE,"Hay","1924","Osbornodon_scitulus",FALSE
"V",52390,"species","Tomarctus_scitulus","(Hay 1924)","recombined as",52181,"species","Osbornodon_scitulus","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Hay","1924",TRUE,"Hay","1924","Osbornodon_scitulus",FALSE
NA,56189,"species","Osbornodon_scitulus","(Hay 1924)",NA,52181,"species","Osbornodon_scitulus","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",TRUE,"Hay","1924",TRUE,"Hay","1924","Osbornodon_scitulus",FALSE
NA,49462,"species","Osbornodon_fricki","Wang 1994",NA,49462,"species","Osbornodon_fricki","Osbornodon",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",FALSE,"Wang","1994",FALSE,"Wang","1994","Osbornodon_fricki",FALSE
NA,50341,"species","Philotrox_condoni","Merriam 1906",NA,50341,"species","Philotrox_condoni","Philotrox",NA,"Chordata","Mammalia","Carnivora","Canidae","Philotrox",FALSE,"Merriam","1906",FALSE,"Merriam","1906","Philotrox_condoni",FALSE
"V",46087,"species","Enhydrocyon_robustus","(Matthew 1907)","recombined as",48337,"species","Paraenhydrocyon_robustus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Matthew","1907",TRUE,"Matthew","1907","Paraenhydrocyon_robustus",FALSE
"V",48337,"species","Mesocyon_robustus","(Matthew 1907)","recombined as",48337,"species","Paraenhydrocyon_robustus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Matthew","1907",TRUE,"Matthew","1907","Paraenhydrocyon_robustus",FALSE
NA,49825,"species","Paraenhydrocyon_robustus","(Matthew 1907)",NA,48337,"species","Paraenhydrocyon_robustus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Matthew","1907",TRUE,"Matthew","1907","Paraenhydrocyon_robustus",FALSE
"V",47251,"species","Hypotemnodon_josephi","(Cope 1881)","recombined as",52163,"species","Paraenhydrocyon_josephi","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_josephi",FALSE
"V",48336,"species","Mesocyon_josephi","(Cope 1881)","recombined as",52163,"species","Paraenhydrocyon_josephi","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_josephi",FALSE
NA,49824,"species","Paraenhydrocyon_josephi","(Cope 1881)",NA,52163,"species","Paraenhydrocyon_josephi","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_josephi",FALSE
"V",52163,"species","Temnocyon_josephi","(Cope 1881)","recombined as",52163,"species","Paraenhydrocyon_josephi","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_josephi",FALSE
"V",204628,"species","Parenhydrocyon_josephi","(Cope 1881)","recombined as",52163,"species","Paraenhydrocyon_josephi","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_josephi",FALSE
NA,48334,"species","Mesocyon_hortulirosae","Schlaikjer 1935","subjective synonym of",52163,"species","Paraenhydrocyon_josephi","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",FALSE,"Schlaikjer","1935",TRUE,"Cope","1881","Paraenhydrocyon_josephi",FALSE
"V",46092,"species","Enhydrocyon_wallovianus","(Cope 1881)","recombined as",52167,"species","Paraenhydrocyon_wallovianus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_wallovianus",FALSE
NA,49826,"species","Paraenhydrocyon_wallovianus","(Cope 1881)",NA,52167,"species","Paraenhydrocyon_wallovianus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_wallovianus",FALSE
"V",52167,"species","Temnocyon_wallovianus","(Cope 1881)","recombined as",52167,"species","Paraenhydrocyon_wallovianus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cope","1881",TRUE,"Cope","1881","Paraenhydrocyon_wallovianus",FALSE
"V",46091,"species","Enhydrocyon_venator","(Cook 1909)","subjective synonym of",52167,"species","Paraenhydrocyon_wallovianus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cook","1909",TRUE,"Cope","1881","Paraenhydrocyon_wallovianus",FALSE
"V",48340,"species","Mesocyon_venator","(Cook 1909)","subjective synonym of",52167,"species","Paraenhydrocyon_wallovianus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cook","1909",TRUE,"Cope","1881","Paraenhydrocyon_wallovianus",FALSE
NA,52166,"species","Temnocyon_venator","(Cook 1909)","subjective synonym of",52167,"species","Paraenhydrocyon_wallovianus","Paraenhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",TRUE,"Cook","1909",TRUE,"Cope","1881","Paraenhydrocyon_wallovianus",FALSE
NA,45991,"species","Ectopocynus_simplicidens","Wang 1994",NA,45991,"species","Ectopocynus_simplicidens","Ectopocynus",NA,"Chordata","Mammalia","Carnivora","Canidae","Ectopocynus",FALSE,"Wang","1994",FALSE,"Wang","1994","Ectopocynus_simplicidens",FALSE
NA,45990,"species","Ectopocynus_intermedius","Wang 1994",NA,45990,"species","Ectopocynus_intermedius","Ectopocynus",NA,"Chordata","Mammalia","Carnivora","Canidae","Ectopocynus",FALSE,"Wang","1994",FALSE,"Wang","1994","Ectopocynus_intermedius",FALSE
NA,45989,"species","Ectopocynus_antiquus","Wang 1994",NA,45989,"species","Ectopocynus_antiquus","Ectopocynus",NA,"Chordata","Mammalia","Carnivora","Canidae","Ectopocynus",FALSE,"Wang","1994",FALSE,"Wang","1994","Ectopocynus_antiquus",FALSE
"V",46084,"species","Enhydrocyon_geringensis","(Barbour and Schultz 1935)","recombined as",48333,"species","Sunkahetanka_geringensis","Sunkahetanka",NA,"Chordata","Mammalia","Carnivora","Canidae","Sunkahetanka",TRUE,"Barbour_Schultz","1935",TRUE,"Barbour_Schultz","1935","Sunkahetanka_geringensis",FALSE
"V",48333,"species","Mesocyon_geringensis","(Barbour and Schultz 1935)","recombined as",48333,"species","Sunkahetanka_geringensis","Sunkahetanka",NA,"Chordata","Mammalia","Carnivora","Canidae","Sunkahetanka",TRUE,"Barbour_Schultz","1935",TRUE,"Barbour_Schultz","1935","Sunkahetanka_geringensis",FALSE
NA,51889,"species","Sunkahetanka_geringensis","(Barbour and Schultz 1935)",NA,48333,"species","Sunkahetanka_geringensis","Sunkahetanka",NA,"Chordata","Mammalia","Carnivora","Canidae","Sunkahetanka",TRUE,"Barbour_Schultz","1935",TRUE,"Barbour_Schultz","1935","Sunkahetanka_geringensis",FALSE
NA,46910,"species","Hesperocyon_coloradensis","Wang 1994",NA,46910,"species","Hesperocyon_coloradensis","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",FALSE,"Wang","1994",FALSE,"Wang","1994","Hesperocyon_coloradensis",FALSE
"V",44845,"species","Canis_gregarius","(Cope 1873)","recombined as",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Cope","1873",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",45470,"species","Cynodictis_gregarius","(Cope 1873)","recombined as",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Cope","1873",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",46572,"species","Galecynus_gregarius","(Cope 1873)","recombined as",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Cope","1873",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
NA,46911,"species","Hesperocyon_gregarius","(Cope 1873)",NA,44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Cope","1873",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",51183,"species","Pseudocynodictis_gregarius","(Cope 1873)","recombined as",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Cope","1873",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
NA,225118,"species","Amphicyon_gracilis","Leidy 1856","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",FALSE,"Leidy","1856",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",43878,"species","Alloeodectes_mcgrewi","(Russell 1972)","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Russell","1972",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
NA,48982,"species","Nanodelphys_mcgrewi","(Russell 1972)","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Russell","1972",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",50118,"species","Peradectes_mcgrewi","(Russell 1972)","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Russell","1972",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
NA,45476,"species","Cynodictis_paterculus","(Matthew 1903)","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Matthew","1903",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",46914,"species","Hesperocyon_paterculus","(Matthew 1903)","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Matthew","1903",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",51185,"species","Pseudocynodictis_paterculus","(Matthew 1903)","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",TRUE,"Matthew","1903",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
NA,45471,"species","Cynodictis_hylactor","Hay 1899","subjective synonym of",44845,"species","Hesperocyon_gregarius","Hesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",FALSE,"Hay","1899",TRUE,"Cope","1873","Hesperocyon_gregarius",FALSE
"V",46917,"species","Hesperocyon_wilsoni","(Gustafson 1986)","recombined as",46917,"species","Prohesperocyon_wilsoni","Prohesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Prohesperocyon",TRUE,"Gustafson","1986",TRUE,"Gustafson","1986","Prohesperocyon_wilsoni",FALSE
NA,50768,"species","Prohesperocyon_wilsoni","(Gustafson 1986)",NA,46917,"species","Prohesperocyon_wilsoni","Prohesperocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Prohesperocyon",TRUE,"Gustafson","1986",TRUE,"Gustafson","1986","Prohesperocyon_wilsoni",FALSE
NA,46086,"species","Enhydrocyon_pahinsintewakpa","(Macdonald 1963)",NA,51890,"species","Enhydrocyon_pahinsintewakpa","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",TRUE,"Macdonald","1963",TRUE,"Macdonald","1963","Enhydrocyon_pahinsintewakpa",FALSE
"V",51890,"species","Sunkahetanka_pahinsintewakpa","(Macdonald 1963)","recombined as",51890,"species","Enhydrocyon_pahinsintewakpa","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",TRUE,"Macdonald","1963",TRUE,"Macdonald","1963","Enhydrocyon_pahinsintewakpa",FALSE
NA,46090,"species","Enhydrocyon_stenocephalus","Cope 1879",NA,46090,"species","Enhydrocyon_stenocephalus","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",FALSE,"Cope","1879",FALSE,"Cope","1879","Enhydrocyon_stenocephalus",FALSE
NA,46085,"species","Enhydrocyon_oregonensis","Thorpe 1922","subjective synonym of",46090,"species","Enhydrocyon_stenocephalus","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",FALSE,"Thorpe","1922",FALSE,"Cope","1879","Enhydrocyon_stenocephalus",FALSE
NA,46081,"species","Enhydrocyon_basilatus","(Cope 1879)",NA,46081,"species","Enhydrocyon_basilatus","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Enhydrocyon_basilatus",FALSE
"V",47121,"species","Hyaenocyon_basilatus","(Cope 1879)","recombined as",46081,"species","Enhydrocyon_basilatus","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Enhydrocyon_basilatus",FALSE
NA,46083,"species","Enhydrocyon_crassidens","Matthew 1907",NA,46083,"species","Enhydrocyon_crassidens","Enhydrocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Enhydrocyon",FALSE,"Matthew","1907",FALSE,"Matthew","1907","Enhydrocyon_crassidens",FALSE
NA,44744,"species","Caedocyon_tedfordi","Wang 1994",NA,44744,"species","Caedocyon_tedfordi","Caedocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Caedocyon",FALSE,"Wang","1994",FALSE,"Wang","1994","Caedocyon_tedfordi",FALSE
NA,433159,"species","Vulpes_beihaiensis","Qiu and Tedford 1990",NA,433159,"species","Vulpes_beihaiensis","Vulpes",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",FALSE,"Qiu_Tedford","1990",FALSE,"Qiu_Tedford","1990","Vulpes_beihaiensis",FALSE
NA,52685,"species","Vulpes_macrotis","Merriam 1888",NA,52685,"species","Vulpes_macrotis","Vulpes",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",FALSE,"Merriam","1888",FALSE,"Merriam","1888","Vulpes_macrotis",FALSE
NA,433157,"species","Vulpes_chikushanensis","Young 1930",NA,433157,"species","Vulpes_chikushanensis","Vulpes",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",FALSE,"Young","1930",FALSE,"Young","1930","Vulpes_chikushanensis",FALSE
NA,475278,"species","Vulpes_hassani","Geraads 2011",NA,475278,"species","Vulpes_hassani","Vulpes",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",FALSE,"Geraads","2011",FALSE,"Geraads","2011","Vulpes_hassani",FALSE
NA,376902,"species","Vulpes_alopecoides","Forsyth Major 1877",NA,376902,"species","Vulpes_alopecoides","Vulpes",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",FALSE,"Forsyth-Major","1877",FALSE,"Forsyth-Major","1877","Vulpes_alopecoides",FALSE
