"pbdb_identified_no","pbdb_accepted_no","pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_internal_synonym","pbdb_genus_difference"
349281,349281,"Cynodictis_lacustris",NA,"Cynodictis_lacustris","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynodictis",NA,NA,NA,NA,33815,36651,36905,41266,41276,NA,"Cynodictis_lacustris",FALSE
71871,71871,"n._gen._Enaliarctos_n._sp._mealsi",NA,"Enaliarctos_mealsi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Enaliarctos",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,36916,NA,"Enaliarctos_mealsi",FALSE
72007,72007,"Pinnarctidion_bishopi",NA,"Pinnarctidion_bishopi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Pinnarctidion",NA,NA,NA,NA,33815,36651,36905,NA,36938,NA,"Pinnarctidion_bishopi",FALSE
90198,90196,"Indarctos_sinensis","subjective synonym of","Indarctos_atticus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Indarctos",NA,NA,NA,NA,33815,36651,36905,41301,41315,NA,"Indarctos_atticus",FALSE
438269,156337,"Sivaonyx_bathygnathus",NA,"Sivaonyx_bathygnathus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx",NA,NA,NA,NA,33815,36651,36905,41086,41169,NA,"Sivaonyx_bathygnathus",FALSE
53071,53071,"n._gen._Atopotarus_n._sp._courseni",NA,"Atopotarus_courseni","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Atopotarus",NA,NA,"n. gen.","n. sp.",33815,36651,36905,41334,36910,NA,"Atopotarus_courseni",FALSE
72005,72005,"Allodesmus_kernensis",NA,"Allodesmus_kernensis","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Allodesmus",NA,NA,NA,NA,33815,36651,36905,41334,36908,NA,"Allodesmus_kernensis",FALSE
72185,104158,"Panthera_pardus",NA,"Panthera_pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,"Panthera_pardus",FALSE
90651,104157,"Panthera_tigris",NA,"Panthera_tigris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,"Panthera_tigris",FALSE
53881,232133,"Crocuta_crocuta",NA,"Crocuta_crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,"Crocuta_crocuta",FALSE
232934,232933,"Paguma_larvata",NA,"Paguma_larvata","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Paguma",NA,NA,NA,NA,33815,36651,36905,40997,136643,NA,"Paguma_larvata",FALSE
240142,240141,"Herpestes_cf._urva",NA,"Herpestes_urva","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,"cf.",33815,36651,36905,199984,41005,NA,"Herpestes_urva",FALSE
104163,104163,"Viverra_cf._zibetha",NA,"Viverra_zibetha","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Viverra",NA,NA,NA,"cf.",33815,36651,36905,40997,41018,NA,"Viverra_zibetha",FALSE
157463,104165,"Lutra_cf._lutra",NA,"Lutra_lutra","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,"cf.",33815,36651,36905,41086,41122,NA,"Lutra_lutra",FALSE
157496,157496,"Arctonyx_collaris",NA,"Arctonyx_collaris","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Arctonyx",NA,NA,NA,NA,33815,36651,36905,41086,41094,NA,"Arctonyx_collaris",FALSE
104029,104029,"Ursus_thibetanus",NA,"Ursus_thibetanus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursus",NA,NA,NA,NA,33815,36651,36905,41301,41331,NA,"Ursus_thibetanus",FALSE
104016,104015,"Ailuropoda_melanoleuca",NA,"Ailuropoda_melanoleuca","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda",NA,NA,NA,NA,33815,36651,36905,41301,41304,NA,"Ailuropoda_melanoleuca",FALSE
49734,46521,"Panthera_cf._leo",NA,"Panthera_leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,"Panthera_leo",FALSE
376866,376866,"Crocuta_cf._sivalensis",NA,"Crocuta_sivalensis","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,"cf.",33815,36651,36905,41020,45364,NA,"Crocuta_sivalensis",FALSE
478218,478218,"Amphicyon_palaeindicus",NA,"Amphicyon_palaeindicus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,"Amphicyon_palaeindicus",FALSE
100309,100309,"Felis_n._sp._vorohuensis","recombined as","Leopardus_vorohuensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Leopardus",NA,NA,NA,"n. sp.",33815,36651,36905,41045,41057,NA,"Leopardus_vorohuensis",FALSE
51312,51312,"Ravenictis_n._sp._krausei",NA,"Ravenictis_krausei","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Ravenictis",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40222,NA,"Ravenictis_krausei",FALSE
47336,47336,"Ictidopappus_n._sp._mustelinus",NA,"Ictidopappus_mustelinus","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Ictidopappus",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40967,NA,"Ictidopappus_mustelinus",FALSE
50669,50669,"Pristinictis_n._sp._connata",NA,"Pristinictis_connata","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Pristinictis",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40969,NA,"Pristinictis_connata",FALSE
48697,52556,"Miocyon_cf._major",NA,"Miocyon_major","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,"Miocyon_major",FALSE
240060,240060,"Lycophocyon_hutchisoni",NA,"Lycophocyon_hutchisoni","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Lycophocyon",NA,NA,NA,NA,33815,36651,36905,NA,240059,NA,"Lycophocyon_hutchisoni",FALSE
240060,240060,"n._gen._Lycophocyon_n._sp._hutchisoni",NA,"Lycophocyon_hutchisoni","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Lycophocyon",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,240059,NA,"Lycophocyon_hutchisoni",FALSE
48698,50737,"Miocyon_scotti",NA,"Miocyon_scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,"Miocyon_scotti",FALSE
48698,50737,"Miocyon_cf._scotti",NA,"Miocyon_scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,"Miocyon_scotti",FALSE
185340,185340,"Miocyon_vallisrubrae",NA,"Miocyon_vallisrubrae","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,"Miocyon_vallisrubrae",FALSE
48698,50737,"Miocyon_n._sp._scotti",NA,"Miocyon_scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"n. sp.",33815,36651,36905,40978,185339,NA,"Miocyon_scotti",FALSE
48477,48477,"Miacis_australis","recombined as","Angelarctocyon_australis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Angelarctocyon",NA,NA,NA,NA,33815,36651,36905,41266,351934,NA,"Angelarctocyon_australis",FALSE
45548,45548,"Daphoenus_lambei",NA,"Daphoenus_lambei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41279,NA,"Daphoenus_lambei",FALSE
45548,45548,"Daphoenus_cf._lambei",NA,"Daphoenus_lambei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,"cf.",33815,36651,36905,41266,41279,NA,"Daphoenus_lambei",FALSE
48477,48477,"Miacis_n._sp._australis","recombined as","Angelarctocyon_australis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Angelarctocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,351934,NA,"Angelarctocyon_australis",FALSE
48696,48696,"Miocyon_n._sp._magnus",NA,"Miocyon_magnus","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"n. sp.",33815,36651,36905,40978,185339,NA,"Miocyon_magnus",FALSE
46911,44845,"Hesperocyon_cf._gregarius",NA,"Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,"cf.",33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
351935,48477,"Angelarctocyon_cf._australis",NA,"Angelarctocyon_australis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Angelarctocyon",NA,NA,NA,"cf.",33815,36651,36905,41266,351934,NA,"Angelarctocyon_australis",FALSE
50003,50003,"Parictis_n._sp._parvus",NA,"Parictis_parvus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41320,NA,"Parictis_parvus",FALSE
50000,50000,"Parictis_n._sp._gilpini",NA,"Parictis_gilpini","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41320,NA,"Parictis_gilpini",FALSE
49999,49999,"Parictis_dakotensis","recombined as","Subparictis_dakotensis","species","species",NA,"Chordata","Mammalia","Carnivora","Subparictidae","Subparictis",NA,NA,NA,NA,33815,36651,36905,97834,41326,NA,"Subparictis_dakotensis",FALSE
45532,45543,"Daphoenocyon_n._sp._minor","subjective synonym of","Brachyrhynchocyon_dodgei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,41274,NA,"Brachyrhynchocyon_dodgei",FALSE
50768,46917,"Prohesperocyon_wilsoni",NA,"Prohesperocyon_wilsoni","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Prohesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41236,NA,"Prohesperocyon_wilsoni",FALSE
46911,44845,"Hesperocyon_gregarius",NA,"Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
50004,44820,"Parictis_personi",NA,"Parictis_personi","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,NA,33815,36651,36905,41301,41320,NA,"Parictis_personi",FALSE
45531,45543,"Daphoenocyon_dodgei","recombined as","Brachyrhynchocyon_dodgei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,NA,33815,36651,36905,41266,41274,NA,"Brachyrhynchocyon_dodgei",FALSE
45529,45529,"Daphoenictis_tedfordi",NA,"Daphoenictis_tedfordi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenictis",NA,NA,NA,NA,33815,36651,36905,41266,41277,NA,"Daphoenictis_tedfordi",FALSE
45752,45752,"Dinictis_felina",NA,"Dinictis_felina","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Dinictis",NA,NA,NA,NA,33815,36651,36905,41036,41039,NA,"Dinictis_felina",FALSE
45529,45529,"n._gen._Daphoenictis_n._sp._tedfordi",NA,"Daphoenictis_tedfordi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenictis",NA,NA,"n. gen.","n. sp.",33815,36651,36905,41266,41277,NA,"Daphoenictis_tedfordi",FALSE
50003,50003,"Parictis_parvus",NA,"Parictis_parvus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,NA,33815,36651,36905,41301,41320,NA,"Parictis_parvus",FALSE
51185,44845,"Pseudocynodictis_cf._paterculus","subjective synonym of","Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,"cf.",33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
44683,45543,"Brachyrhynchocyon_cf._dodgei",NA,"Brachyrhynchocyon_dodgei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,"cf.",33815,36651,36905,41266,41274,NA,"Brachyrhynchocyon_dodgei",FALSE
47102,47845,"Hoplophoneus_mentalis","subjective synonym of","Hoplophoneus_primaevus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_primaevus",FALSE
50000,50000,"Parictis_gilpini",NA,"Parictis_gilpini","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,NA,33815,36651,36905,41301,41320,NA,"Parictis_gilpini",FALSE
50002,50002,"Parictis_montanus",NA,"Parictis_montanus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,NA,33815,36651,36905,41301,41320,NA,"Parictis_montanus",FALSE
51886,50003,"Subparictis_parvus","recombined as","Parictis_parvus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,NA,33815,36651,36905,41301,41320,NA,"Parictis_parvus",FALSE
46914,44845,"Hesperocyon_paterculus","subjective synonym of","Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
47105,47105,"Hoplophoneus_oharrai",NA,"Hoplophoneus_oharrai","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_oharrai",FALSE
44633,44633,"Brachicyon_n._sp._intermedius","recombined as","Brachyrhynchocyon_intermedius","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,41274,NA,"Brachyrhynchocyon_intermedius",FALSE
51185,44845,"Pseudocynodictis_paterculus","subjective synonym of","Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
44683,45543,"Brachyrhynchocyon_dodgei",NA,"Brachyrhynchocyon_dodgei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,NA,33815,36651,36905,41266,41274,NA,"Brachyrhynchocyon_dodgei",FALSE
49999,49999,"Parictis_n._sp._dakotensis","recombined as","Subparictis_dakotensis","species","species",NA,"Chordata","Mammalia","Carnivora","Subparictidae","Subparictis",NA,NA,NA,"n. sp.",33815,36651,36905,97834,41326,NA,"Subparictis_dakotensis",FALSE
50001,50001,"Parictis_n._sp._major",NA,"Parictis_major","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41320,NA,"Parictis_major",FALSE
48870,48870,"Mustelavus_n._sp._priscus",NA,"Mustelavus_priscus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mustelavus",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41140,NA,"Mustelavus_priscus",FALSE
47105,47105,"Hoplophoneus_n._sp._oharrai",NA,"Hoplophoneus_oharrai","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,"n. sp.",33815,36651,36905,41036,41041,NA,"Hoplophoneus_oharrai",FALSE
44686,44686,"Brachyrhynchocyon_n._sp._montanus",NA,"Brachyrhynchocyon_montanus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,41274,NA,"Brachyrhynchocyon_montanus",FALSE
46914,44845,"Hesperocyon_n._sp._paterculus","subjective synonym of","Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
48870,48870,"Mustelavus_priscus",NA,"Mustelavus_priscus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mustelavus",NA,NA,NA,NA,33815,36651,36905,41086,41140,NA,"Mustelavus_priscus",FALSE
49648,48868,"Palaeogale_n._sp._infelix","subjective synonym of","Palaeogale_sectoria","species","species",NA,"Chordata","Mammalia","Carnivora","Palaeogalidae","Palaeogale",NA,NA,NA,"n. sp.",33815,36651,36905,454419,40968,NA,"Palaeogale_sectoria",FALSE
48481,48481,"Miacis_n._sp._cognitus","recombined as","Gustafsonia_cognita","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Gustafsonia",NA,NA,NA,"n. sp.",33815,36651,36905,41266,351932,NA,"Gustafsonia_cognita",FALSE
462400,462400,"n._gen._Pangurban_n._sp._egiae",NA,"Pangurban_egiae","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Pangurban",NA,NA,"n. gen.","n. sp.",33815,36651,36905,41036,462399,NA,"Pangurban_egiae",FALSE
45547,44846,"Daphoenus_hartshornianus",NA,"Daphoenus_hartshornianus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41279,NA,"Daphoenus_hartshornianus",FALSE
47108,47845,"Hoplophoneus_primaevus",NA,"Hoplophoneus_primaevus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_primaevus",FALSE
51183,44845,"Pseudocynodictis_gregarius","recombined as","Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
46910,46910,"""Hesperocyon""_coloradensis",NA,"Hesperocyon_coloradensis","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,"""",NA,33815,36651,36905,41189,41217,NA,"Hesperocyon_coloradensis",FALSE
45553,45553,"Daphoenus_cf._vetus",NA,"Daphoenus_vetus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,"cf.",33815,36651,36905,41266,41279,NA,"Daphoenus_vetus",FALSE
49652,48868,"Palaeogale_sectoria",NA,"Palaeogale_sectoria","species","species",NA,"Chordata","Mammalia","Carnivora","Palaeogalidae","Palaeogale",NA,NA,NA,NA,33815,36651,36905,454419,40968,NA,"Palaeogale_sectoria",FALSE
45917,45917,"Drassonax_n._sp._harpagops",NA,"Drassonax_harpagops","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Drassonax",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41280,NA,"Drassonax_harpagops",FALSE
47098,47845,"Hoplophoneus_insolens","subjective synonym of","Hoplophoneus_primaevus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_primaevus",FALSE
49485,49485,"Otarocyon_macdonaldi",NA,"Otarocyon_macdonaldi","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Otarocyon",NA,NA,NA,NA,33815,36651,36905,41189,41227,NA,"Otarocyon_macdonaldi",FALSE
45553,45553,"Daphoenus_vetus",NA,"Daphoenus_vetus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41279,NA,"Daphoenus_vetus",FALSE
45470,44845,"Cynodictis_gregarius","recombined as","Hesperocyon_gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,"Hesperocyon_gregarius",FALSE
47109,47845,"Hoplophoneus_robustus","subjective synonym of","Hoplophoneus_primaevus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_primaevus",FALSE
49999,49999,"Parictis_cf._dakotensis","recombined as","Subparictis_dakotensis","species","species",NA,"Chordata","Mammalia","Carnivora","Subparictidae","Subparictis",NA,NA,NA,"cf.",33815,36651,36905,97834,41326,NA,"Subparictis_dakotensis",FALSE
48338,45477,"""Mesocyon""_temnodon",NA,"Mesocyon_temnodon","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",NA,NA,"""",NA,33815,36651,36905,41189,41220,NA,"Mesocyon_temnodon",FALSE
49464,49464,"Osbornodon_n._sp._renjiei",NA,"Osbornodon_renjiei","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41226,NA,"Osbornodon_renjiei",FALSE
49649,44731,"Palaeogale_lagophaga","recombined as","Bunaelurus_lagophagus","species","species",NA,"Chordata","Mammalia","Carnivora","Palaeogalidae","Palaeogale",NA,NA,NA,NA,33815,36651,36905,454419,40968,NA,"Palaeogale_lagophagus",TRUE
46436,46436,"Eusmilus_sicarius","recombined as","Hoplophoneus_sicarius","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_sicarius",FALSE
47104,47844,"Hoplophoneus_occidentalis",NA,"Hoplophoneus_occidentalis","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_occidentalis",FALSE
47110,46436,"Hoplophoneus_sicarius",NA,"Hoplophoneus_sicarius","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_sicarius",FALSE
45757,45752,"Dinictis_squalidens","subjective synonym of","Dinictis_felina","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Dinictis",NA,NA,NA,NA,33815,36651,36905,41036,41039,NA,"Dinictis_felina",FALSE
49485,49485,"Otarocyon_n._sp._macdonaldi",NA,"Otarocyon_macdonaldi","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Otarocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41227,NA,"Otarocyon_macdonaldi",FALSE
49805,45549,"Paradaphoenus_minimus",NA,"Paradaphoenus_minimus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Paradaphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41289,NA,"Paradaphoenus_minimus",FALSE
44212,51186,"Archaeocyon_pavidus",NA,"Archaeocyon_pavidus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Archaeocyon",NA,NA,NA,NA,33815,36651,36905,41189,41194,NA,"Archaeocyon_pavidus",FALSE
48338,45477,"Mesocyon_temnodon",NA,"Mesocyon_temnodon","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",NA,NA,NA,NA,33815,36651,36905,41189,41220,NA,"Mesocyon_temnodon",FALSE
45466,45466,"Cynodesmus_thooides",NA,"Cynodesmus_thooides","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynodesmus",NA,NA,NA,NA,33815,36651,36905,41189,41207,NA,"Cynodesmus_thooides",FALSE
46915,51186,"Hesperocyon_pavidus","recombined as","Archaeocyon_pavidus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Archaeocyon",NA,NA,NA,NA,33815,36651,36905,41189,41194,NA,"Archaeocyon_pavidus",FALSE
49465,44687,"Osbornodon_sesnoni",NA,"Osbornodon_sesnoni","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Osbornodon",NA,NA,NA,NA,33815,36651,36905,41189,41226,NA,"Osbornodon_sesnoni",FALSE
49167,47827,"Nimravus_brachyops",NA,"Nimravus_brachyops","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Nimravus",NA,NA,NA,NA,33815,36651,36905,41036,41043,NA,"Nimravus_brachyops",FALSE
49523,49523,"Oxetocyon_n._sp._cuspidatus",NA,"Oxetocyon_cuspidatus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Oxetocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41229,NA,"Oxetocyon_cuspidatus",FALSE
44211,49212,"Archaeocyon_leptodus",NA,"Archaeocyon_leptodus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Archaeocyon",NA,NA,NA,NA,33815,36651,36905,41189,41194,NA,"Archaeocyon_leptodus",FALSE
45989,45989,"Ectopocynus_antiquus",NA,"Ectopocynus_antiquus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Ectopocynus",NA,NA,NA,NA,33815,36651,36905,41189,41210,NA,"Ectopocynus_antiquus",FALSE
46434,47828,"Eusmilus_cerebralis","recombined as","Hoplophoneus_cerebralis","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Hoplophoneus",NA,NA,NA,NA,33815,36651,36905,41036,41041,NA,"Hoplophoneus_cerebralis",FALSE
49824,52163,"Paraenhydrocyon_josephi",NA,"Paraenhydrocyon_josephi","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon",NA,NA,NA,NA,33815,36651,36905,41189,41232,NA,"Paraenhydrocyon_josephi",FALSE
45437,44855,"Cynarctoides_lemur",NA,"Cynarctoides_lemur","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynarctoides",NA,NA,NA,NA,33815,36651,36905,41189,41205,NA,"Cynarctoides_lemur",FALSE
50344,46573,"Phlaocyon_latidens",NA,"Phlaocyon_latidens","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Phlaocyon",NA,NA,NA,NA,33815,36651,36905,41189,41235,NA,"Phlaocyon_latidens",FALSE
51357,45475,"Rhizocyon_oregonensis",NA,"Rhizocyon_oregonensis","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Rhizocyon",NA,NA,NA,NA,33815,36651,36905,41189,41242,NA,"Rhizocyon_oregonensis",FALSE
