"pbdb_identified_no","pbdb_accepted_no","pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_internal_synonym","pbdb_genus_difference"
47819,224062,"Lynx_cf._canadensis",NA,"Lynx_canadensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Lynx",NA,NA,NA,"cf.",33815,36651,36905,41045,41058,NA,"Lynx_canadensis",FALSE
109651,47537,"Leptarctus_n._sp._desuii","subjective synonym of","Leptarctus_wortmani","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Leptarctus",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41119,NA,"Leptarctus_wortmani",FALSE
232943,232943,"Canis_cf._mesomelas","recombined as","Lupulella_mesomelas","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lupulella",NA,NA,NA,"cf.",33815,36651,36905,41189,472885,NA,"Lupulella_mesomelas",FALSE
232943,232943,"Canis_mesomelas","recombined as","Lupulella_mesomelas","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lupulella",NA,NA,NA,NA,33815,36651,36905,41189,472885,NA,"Lupulella_mesomelas",FALSE
53881,232133,"Crocuta_cf._crocuta",NA,"Crocuta_crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,"cf.",33815,36651,36905,41020,45364,NA,"Crocuta_crocuta",FALSE
129887,129887,"Megantereon_eurynodon",NA,"Megantereon_eurynodon","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Megantereon",NA,NA,NA,NA,33815,36651,36905,41045,41060,NA,"Megantereon_eurynodon",FALSE
46525,46525,"Felis_pardalis","recombined as","Leopardus_pardalis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Leopardus",NA,NA,NA,NA,33815,36651,36905,41045,41057,NA,"Leopardus_pardalis",FALSE
46533,46533,"Felis_yagouaroundi","recombined as","Puma_yagouaroundi","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Puma",NA,NA,NA,NA,33815,36651,36905,41045,41073,NA,"Puma_yagouaroundi",FALSE
232922,232921,"Conepatus_semistriatus",NA,"Conepatus_semistriatus","species","species",NA,"Chordata","Mammalia","Carnivora","Mephitidae","Conepatus",NA,NA,NA,NA,33815,36651,36905,104743,41104,NA,"Conepatus_semistriatus",FALSE
232924,104166,"Eira_barbara",NA,"Eira_barbara","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Eira",NA,NA,NA,NA,33815,36651,36905,41086,159113,NA,"Eira_barbara",FALSE
232912,232911,"Galictis_vittata",NA,"Galictis_vittata","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Galictis",NA,NA,NA,NA,33815,36651,36905,41086,41111,NA,"Galictis_vittata",FALSE
232926,232925,"Procyon_cancrivorus",NA,"Procyon_cancrivorus","species","species",NA,"Chordata","Mammalia","Carnivora","Procyonidae","Procyon",NA,NA,NA,NA,33815,36651,36905,41249,41262,NA,"Procyon_cancrivorus",FALSE
232946,232945,"Cerdocyon_thous",NA,"Cerdocyon_thous","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cerdocyon",NA,NA,NA,NA,33815,36651,36905,41189,41200,NA,"Cerdocyon_thous",FALSE
232955,232954,"Speothos_venaticus",NA,"Speothos_venaticus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Speothos",NA,NA,NA,NA,33815,36651,36905,41189,159112,NA,"Speothos_venaticus",FALSE
137412,137412,"Lutra_longicaudis","recombined as","Lontra_longicaudis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lontra",NA,NA,NA,NA,33815,36651,36905,41086,41121,NA,"Lontra_longicaudis",FALSE
231412,231411,"Nasua_nasua",NA,"Nasua_nasua","species","species",NA,"Chordata","Mammalia","Carnivora","Procyonidae","Nasua",NA,NA,NA,NA,33815,36651,36905,41249,41257,NA,"Nasua_nasua",FALSE
232928,232927,"Potos_flavus",NA,"Potos_flavus","species","species",NA,"Chordata","Mammalia","Carnivora","Procyonidae","Potos",NA,NA,NA,NA,33815,36651,36905,41249,103568,NA,"Potos_flavus",FALSE
156976,231845,"Pteronura_brasiliensis",NA,"Pteronura_brasiliensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Pteronura",NA,NA,NA,NA,33815,36651,36905,41086,104745,NA,"Pteronura_brasiliensis",FALSE
