"SIDNUM","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","MIN_AGE","MAX_AGE","now_accepted_name","now_accepted_rank","now_continent"
80437,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Temnocyoninae","Temnocyon","indet.",18.5,29.75,"Temnocyon","genus","Americas"
80487,"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Nimravus","brachyops",22.2,32.1,"Nimravus_brachyops","species","Americas"
80503,"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Eusmilus","belli",28,29.75,"Eusmilus_belli","species","Americas"
82195,"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberogale","shareri",28,29.75,"Phoberogale_shareri","species","Americas"
82189,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","whistleri",17.34,29.75,"Cynarctoides_whistleri","species","Americas"
82039,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","taylori",22.2,29.75,"Phlaocyon_taylori","species","Americas"
80205,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Leptocyon","vulpinus",17.34,28,"Leptocyon_vulpinus","species","Americas"
80230,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","indet.",15.97,19.09,"Phlaocyon","genus","Americas"
80242,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Metatomarctus","canavus",15.97,18.5,"Metatomarctus_canavus","species","Americas"
80244,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Desmocyon","thomsoni",17.34,22.2,"Desmocyon_thomsoni","species","Americas"
80448,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Cynelos","indet.",12.57,21.7,"Cynelos","genus","Americas | Europe | Asia"
82028,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","gawnae",17.34,18.5,"Cynarctoides_gawnae","species","Americas"
80424,"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenus","indet.",22.2,39.83,"Daphoenus","genus","Americas"
22583,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Mustela","indet.",0.007,17.2,"Mustela","genus","Americas | Europe | Asia"
80234,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tomarctus","hippophaga",12.57,15.97,"Tomarctus_hippophaga","species","Americas"
20116,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Martes","indet.",0,17.2,"Martes","genus","Americas | Asia | Europe"
80236,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tephrocyon","rurestris",14.78,15.97,"Tephrocyon_rurestris","species","Americas"
80241,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Paratomarctus","temerarius",12.11,15.97,"Paratomarctus_temerarius","species","Americas"
80209,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Vulpes","indet.",0.01,12.11,"Vulpes","genus","Americas | Europe | Africa | Asia"
80272,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","indet.","indet.",9.07,12.11,"indet.","subfamily","Americas"
80281,"Eutheria","Carnivora","Musteloidea","Procyonidae","Procyoninae","Bassariscus","indet.",1.8,14.78,"Bassariscus","genus","Americas"
80387,"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Sthenictis","indet.",6.88,14.78,"Sthenictis","genus","Americas | Asia"
80298,"Eutheria","Carnivora","Caniformia","Ailuridae","Simocyoninae","Actiocyon","leardi",9.07,10.09,"Actiocyon_leardi","species","Americas"
80243,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Protomarctus","optatus",15.97,18.5,"Protomarctus_optatus","species","Americas"
80235,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Paracynarctus","kellogi",12.57,18.5,"Paracynarctus_kellogi","species","Americas"
80324,"Eutheria","Carnivora","Caniformia","Mustelidae","Oligobuninae","Brachypsalis","indet.",10.09,18.5,"Brachypsalis","genus","Americas"
80331,"Eutheria","Carnivora","Caniformia","Mustelidae","Leptarctinae","Leptarctus","ancipidens",15.97,18.5,"Leptarctus_ancipidens","species","Americas"
80334,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Miomustela","indet.",15.97,18.5,"Miomustela","genus","Americas"
80232,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Microtomarctus","conferta",12.57,17.34,"Microtomarctus_conferta","species","Americas"
80371,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Martes","glareae",10.09,15.97,"Martes_glareae","species","Americas"
80513,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Hyperailurictis","marshi",10.09,22.2,"Hyperailurictis_marshi","species","Americas"
82057,"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Leptocyon","tejonensis",10.09,12.11,"Leptocyon_tejonensis","species","Americas"
