"pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_internal_synonym","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_identified_no","pbdb_accepted_no","pbdb_old_genus","pbdb_rest"
"Tomarctus_cf._hippophaga",NA,"Tomarctus_hippophaga","Tomarctus_hippophaga","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Tomarctus",NA,NA,NA,"cf.",33815,36651,36905,41189,41246,NA,52381,52176,"Tomarctus","hippophaga"
"Cynarctus_n._sp._galushai",NA,"Cynarctus_galushai","Cynarctus_galushai","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynarctus",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41206,NA,45444,45444,"Cynarctus","galushai"
"Cerdocyon_texanus",NA,"Cerdocyon_texanus","Cerdocyon_texanus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cerdocyon",NA,NA,NA,NA,33815,36651,36905,41189,41200,NA,300806,300806,"Cerdocyon","texanus"
"Metalopex_macconnelli",NA,"Metalopex_macconnelli","Metalopex_macconnelli","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Metalopex",NA,NA,NA,NA,33815,36651,36905,41189,300796,NA,300799,300799,"Metalopex","macconnelli"
"Pliogale_furlongi",NA,"Pliogale_furlongi","Pliogale_furlongi","species","species",NA,"Chordata","Mammalia","Carnivora","Mephitidae","Pliogale",NA,NA,NA,NA,33815,36651,36905,104743,41154,NA,50518,48851,"Pliogale","furlongi"
"Taxidea_taxus",NA,"Taxidea_taxus","Taxidea_taxus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Taxidea",NA,NA,NA,NA,33815,36651,36905,41086,41175,NA,52093,52612,"Taxidea","taxus"
"Canis_edwardii",NA,"Canis_edwardii","Canis_edwardii","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,44838,44838,"Canis","edwardii"
"Canis_armbrusteri",NA,"Canis_armbrusteri","Canis_armbrusteri","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,44827,44827,"Canis","armbrusteri"
"Canis_latrans_?",NA,"Canis_latrans","Canis_latrans","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,"?",33815,36651,36905,41189,41198,NA,44854,44854,"Canis","latrans"
"Chasmaporthetes_n._sp._ossifragus",NA,"Chasmaporthetes_ossifragus","Chasmaporthetes_ossifragus","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Chasmaporthetes",NA,NA,NA,"n. sp.",33815,36651,36905,41020,41023,NA,45052,45052,"Chasmaporthetes","ossifragus"
"Chasmaporthetes_ossifragus",NA,"Chasmaporthetes_ossifragus","Chasmaporthetes_ossifragus","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Chasmaporthetes",NA,NA,NA,NA,33815,36651,36905,41020,41023,NA,45052,45052,"Chasmaporthetes","ossifragus"
"Borophagus_diversidens",NA,"Borophagus_diversidens","Borophagus_diversidens","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Borophagus",NA,NA,NA,NA,33815,36651,36905,41189,41196,NA,44593,44593,"Borophagus","diversidens"
"Trigonictis_macrodon",NA,"Trigonictis_macrodon","Trigonictis_macrodon","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trigonictis",NA,NA,NA,NA,33815,36651,36905,41086,41178,NA,52455,46578,"Trigonictis","macrodon"
