"MDD_syn_ID","SIDNUM","MDD_species","MDD_root_name","MDD_original_combination","now_accepted_name","string_distance","match_notes","MDD_family","FAMILY","MDD_continent","now_continent","MIN_AGE","MAX_AGE","MDD_species_id","MDD_author","MDD_year","MDD_authority_parentheses","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","SUBFAMILY","GENUS","SPECIES","now_accepted_rank","accepted_match"
100004067,34651,"Cryptoprocta_ferox","ferox","Cryptoprocta_ferox","Cryptoprocta_ferox",0,"exact match (mdd accepted, now accepted)","Eupleridae","Eupleridae","Africa","Africa",0,0.0117,1006028,"E. T. Bennett in Telfair",1833,0,"Eutheria","Carnivora","indet.","Euplerinae","Cryptoprocta","ferox","species",TRUE
100003734,25241,"Cuon_alpinus","alpinus","Canis_alpinus","Cuon_alpinus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia","Europe",0.014,0.379,1005949,"Pallas",1811,1,"Eutheria","Carnivora","Caniformia","Caninae","Cuon","alpinus","species",TRUE
100003734,25449,"Cuon_alpinus","alpinus","Canis_alpinus","Cuon_alpinus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia","Asia | Europe",0,1.9,1005949,"Pallas",1811,1,"Eutheria","Carnivora","Caniformia","Caninae","Cuon","alpinus","species",TRUE
100003734,25064,"Cuon_alpinus","alpinus","Canis_alpinus","Cuon_alpinus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia","Europe | Asia",0.0117,1.9,1005949,"Pallas",1811,1,"Eutheria","Carnivora","Caniformia","Caninae","Cuon","alpinus","species",TRUE
100003734,33372,"Cuon_alpinus","alpinus","Canis_alpinus","Cuon_alpinus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia","Asia",0.0117,1.9,1005949,"Pallas",1811,1,"Eutheria","Carnivora","Caniformia","Caninae","Cuon","alpinus","species",TRUE
100004159,25676,"Felis_catus","catus","Felis_catus","Felis_catus",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae",NA,"Europe | Asia",0,0.0351,1005985,"Linnaeus",1758,0,"Eutheria","Carnivora","Feliformia","Felinae","Felis","catus","species",TRUE
100004185,25424,"Felis_chaus","chaus","Felis_chaus","Felis_chaus",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Africa|Asia|Europe","Asia | Europe",0.0117,1.9,1005986,"von Schreber",1777,0,"Eutheria","Carnivora","Feliformia","Felinae","Felis","chaus","species",TRUE
100004073,34683,"Fossa_fossana","fossana","Viverra_fossana","Fossa_fossana",0,"exact match (mdd accepted, now accepted)","Eupleridae","Eupleridae","Africa","Africa",0,0.0117,1006031,"P. L. S. Müller",1776,1,"Eutheria","Carnivora","indet.","Euplerinae","Fossa","fossana","species",TRUE
100004079,34652,"Galidia_elegans","elegans","Galidia_elegans","Galidia_elegans",0,"exact match (mdd accepted, now accepted)","Eupleridae","Eupleridae","Africa","Africa",0,0.0117,1006032,"I. Geoffroy Saint-Hilaire",1837,0,"Eutheria","Carnivora","indet.","Galidiinae","Galidia","elegans","species",TRUE
100006695,82316,"Genetta_genetta","genetta","Viverra_genetta","Genetta_genetta",0,"exact match (mdd accepted, now accepted)","Viverridae","Viverridae","Africa|Asia|Europe","Africa",0,2,1006080,"Linnaeus",1758,1,"Eutheria","Carnivora","Feliformia","indet.","Genetta","genetta","species",TRUE
