"","now_accepted_sist_subclass_superorder","now_accepted_sist_order","now_accepted_sist_suborder_superfamily","now_accepted_sist_family","now_accepted_sist_subfamily_tribe","now_accepted_sist_genus","now_accepted_sist_epithet","now_accepted_name","now_accepted_rank"
"1220","Eutheria","Carnivora","indet.","Mustelidae","Oligobuninae","Brachypsalis","obliquidens","Brachypsalis_obliquidens","Species"
"1221","Eutheria","Carnivora","indet.","Mustelidae","Leptarctinae","Leptarctus","oregonensis","Leptarctus_oregonensis","Species"
"1222","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","Mionictis","elegans","Mionictis_elegans","Species"
"1223","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","Mionictis","incertus","Mionictis_incertus","Species"
"1224","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Sthenictis","dolichops","Sthenictis_dolichops","Species"
"1225","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Bassariscus","antiquus","Bassariscus_antiquus","Species"
"1226","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Arctonasua","gracilis","Arctonasua_gracilis","Species"
"1227","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Probassariscus","matthewi","Probassariscus_matthewi","Species"
"1228","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Plithocyon","barstowensis","Plithocyon_barstowensis","Species"
"1229","Eutheria","Carnivora","indet.","Mustelidae","indet.","Martes","foxi","Martes_foxi","Species"
"1230","Eutheria","Carnivora","indet.","Mustelidae","Ischyrictini","Ferinestrix","vorax","Ferinestrix_vorax","Species"
"1231","Eutheria","Carnivora","indet.","Mustelidae","Galictini","Sminthosinis","bowleri","Sminthosinis_bowleri","Species"
"1232","Eutheria","Carnivora","indet.","Mustelidae","indet.","Buisnictis","burrowsi","Buisnictis_burrowsi","Species"
"1233","Eutheria","Carnivora","indet.","Mustelidae","indet.","Buisnictis","chisoensis","Buisnictis_chisoensis","Species"
"1234","Eutheria","Carnivora","indet.","Mustelidae","indet.","Buisnictis","indet.","Buisnictis","Genus"
"1235","Eutheria","Carnivora","indet.","Mustelidae","Galictini","Cernictis","hesperus","Cernictis_hesperus","Species"
"1236","Eutheria","Carnivora","indet.","Mustelidae","Galictini","Cernictis","indet.","Cernictis","Genus"
"1237","Eutheria","Carnivora","indet.","Mustelidae","Taxidiini","Chamitataxus","avitatus","Chamitataxus_avitatus","Species"
"1238","Eutheria","Carnivora","indet.","Mustelidae","indet.","Cyrnolutra","castiglionis","Cyrnolutra_castiglionis","Species"
"1239","Eutheria","Carnivora","indet.","Mustelidae","indet.","Enhydrictis","galictoides","Enhydrictis_galictoides","Species"
"1240","Eutheria","Carnivora","indet.","Mustelidae","indet.","Mustela","praenivalis","Mustela_praenivalis","Species"
"1241","Eutheria","Carnivora","indet.","Mustelidae","indet.","Enhydriodon","campanii","Enhydriodon_campanii","Species"
"1242","Eutheria","Carnivora","indet.","Mustelidae","indet.","Mustela","majori","Mustela_majori","Species"
"1243","Eutheria","Carnivora","indet.","Mustelidae","indet.","Paludolutra","maremmana","Paludolutra_maremmana","Species"
"1244","Eutheria","Carnivora","indet.","Ursidae","Ursinae","Indarctos","anthracitis","Indarctos_anthracitis","Species"
"1245","Eutheria","Carnivora","indet.","Mustelidae","indet.","Enhydriodon","dikikae","Enhydriodon_dikikae","Species"
"1246","Eutheria","Carnivora","indet.","Mustelidae","Lutrini","Enhydritherium","indet.","Enhydritherium","Genus"
"1247","Eutheria","Carnivora","indet.","Ursidae","Ursinae","Indarctos","oregonensis","Indarctos_oregonensis","Species"
