"","now_accepted_sist_subclass_superorder","now_accepted_sist_order","now_accepted_sist_suborder_superfamily","now_accepted_sist_family","now_accepted_sist_subfamily_tribe","now_accepted_sist_genus","now_accepted_sist_epithet","now_accepted_name","now_accepted_rank"
"1388","Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Moghradictis","nedjema","Moghradictis_nedjema","Species"
"1389","Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Stenogale","aurelianensis","Stenogale_aurelianensis","Species"
"1390","Eutheria","Carnivora","indet.","Ursidae","Ursinae","Agriotherium","inexpetans","Agriotherium_inexpetans","Species"
"1391","Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","boeckhi","Ursus_boeckhi","Species"
"1392","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Pachycynodon","tedfordi","Pachycynodon_tedfordi","Species"
"1393","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Hemicyon","mayorali","Hemicyon_mayorali","Species"
"1394","Eutheria","Carnivora","indet.","Ursidae","Ursinae","Indarctos","zdanskyi","Indarctos_zdanskyi","Species"
"1395","Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Kolponomos","clallamensis","Kolponomos_clallamensis","Species"
"1396","Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Kolponomos","newportensis","Kolponomos_newportensis","Species"
"1397","Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Parictis","personi","Parictis_personi","Species"
"1398","Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Parictis","primaevus","Parictis_primaevus","Species"
"1399","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberocyon","youngi","Phoberocyon_youngi","Species"
"1400","Eutheria","Carnivora","indet.","Ursidae","Ursinae","Ursavus","orientalis","Ursavus_orientalis","Species"
"1401","Eutheria","Carnivora","indet.","Ursidae","indet.","Zaragocyon","daamsi","Zaragocyon_daamsi","Species"
"1402","Eutheria","Carnivora","indet.","Ursidae","indet.","Ursus","namadicus","Ursus_namadicus","Species"
"1403","Eutheria","Carnivora","indet.","Viverravidae","indet.","Simpsonictis","pegus","Simpsonictis_pegus","Species"
"1404","Eutheria","Carnivora","indet.","Viverravidae","indet.","Simpsonictis","indet.","Simpsonictis","Genus"
"1405","Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","laytoni","Protictis_laytoni","Species"
"1406","Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","schaffi","Protictis_schaffi","Species"
"1407","Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","aprophatos","Protictis_aprophatos","Species"
"1408","Eutheria","Carnivora","indet.","Viverravidae","indet.","Intyrictis","vanvaleni","Intyrictis_vanvaleni","Species"
"1409","Eutheria","Carnivora","indet.","Viverravidae","indet.","Simpsonictis","jaynanneae","Simpsonictis_jaynanneae","Species"
"1410","Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","agastor","Protictis_agastor","Species"
"1411","Eutheria","Carnivora","indet.","Viverravidae","indet.","Raphictis","gausion","Raphictis_gausion","Species"
"1412","Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","indet.","Protictis","Genus"
"1413","Eutheria","Carnivora","indet.","Viverravidae","indet.","Quercygale","helvetica","Quercygale_helvetica","Species"
"1414","Eutheria","Carnivora","indet.","Viverravidae","indet.","Tugenictis","ngororaensis","Tugenictis_ngororaensis","Species"
"1415","Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","politus","Viverravus_politus","Species"
"1416","Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","gracilis","Viverravus_gracilis","Species"
"1417","Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","lutosus","Viverravus_lutosus","Species"
"1418","Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","minutus","Viverravus_minutus","Species"
"1419","Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","sicarius","Viverravus_sicarius","Species"
"1420","Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","indet.","Viverravus","Genus"
"1421","Eutheria","Carnivora","indet.","Viverridae","indet.","Arctictis","binturong","Arctictis_binturong","Species"
"1422","Eutheria","Carnivora","indet.","Viverridae","indet.","Civettictus","indet.","Civettictus","Genus"
"1423","Eutheria","Carnivora","indet.","Viverridae","indet.","Cynogale","indet.","Cynogale","Genus"
"1424","Eutheria","Carnivora","indet.","Viverridae","indet.","Euboictis","aliverensis","Euboictis_aliverensis","Species"
"1425","Eutheria","Carnivora","indet.","Viverridae","Paradoxurinae","indet.","indet.","indet.","Subfamily_tribe"
"1426","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","indet.","Viverra","Genus"
"1427","Eutheria","Carnivora","indet.","Viverridae","indet.","Genetta","genetta","Genetta_genetta","Species"
"1428","Eutheria","Carnivora","indet.","Viverridae","indet.","Pseudocivetta","ingens","Pseudocivetta_ingens","Species"
"1429","Eutheria","Carnivora","indet.","Viverridae","indet.","Genetta","indet.","Genetta","Genus"
"1430","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","leakeyi","Viverra_leakeyi","Species"
"1431","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","indet.","indet.","indet.","Subfamily_tribe"
"1432","Eutheria","Carnivora","indet.","Viverridae","indet.","indet.","indet.","indet.","Family"
"1433","Eutheria","Carnivora","indet.","Viverridae","indet.","Genetta","tigrina","Genetta_tigrina","Species"
"1434","Eutheria","Carnivora","indet.","Viverridae","indet.","Hesperoviverra","carpathorum","Hesperoviverra_carpathorum","Species"
"1435","Eutheria","Carnivora","indet.","Viverridae","indet.","Jourdanictis","grivensis","Jourdanictis_grivensis","Species"
"1436","Eutheria","Carnivora","indet.","Viverridae","indet.","Leptoplesictis","aurelianensis","Leptoplesictis_aurelianensis","Species"
"1437","Eutheria","Carnivora","indet.","Viverridae","indet.","Leptoplesictis","filholi","Leptoplesictis_filholi","Species"
"1438","Eutheria","Carnivora","indet.","Viverridae","indet.","Schlossericyon","viverroides","Schlossericyon_viverroides","Species"
"1439","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","sansaniensis","Semigenetta_sansaniensis","Species"
"1440","Eutheria","Carnivora","indet.","Viverridae","indet.","Sivanasua","moravica","Sivanasua_moravica","Species"
"1441","Eutheria","Carnivora","indet.","Viverridae","indet.","Viverrictis","modica","Viverrictis_modica","Species"
"1442","Eutheria","Carnivora","indet.","Viverridae","indet.","Ketketictis","solida","Ketketictis_solida","Species"
"1443","Eutheria","Carnivora","indet.","Viverridae","indet.","Leptoplesictis","atavus","Leptoplesictis_atavus","Species"
"1444","Eutheria","Carnivora","indet.","Viverridae","indet.","Viverrictis","vetusta","Viverrictis_vetusta","Species"
"1445","Eutheria","Carnivora","indet.","Viverridae","indet.","Sivanasua","indet.","Sivanasua","Genus"
"1446","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","elegans","Semigenetta_elegans","Species"
"1447","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","repelini","Semigenetta_repelini","Species"
"1448","Eutheria","Carnivora","indet.","Viverridae","indet.","Lophocyon","carpathicus","Lophocyon_carpathicus","Species"
"1449","Eutheria","Carnivora","indet.","Viverridae","indet.","Lophocyon","paraskevaidisi","Lophocyon_paraskevaidisi","Species"
"1450","Eutheria","Carnivora","indet.","Viverridae","indet.","Mioprionodon","indet.","Mioprionodon","Genus"
"1451","Eutheria","Carnivora","indet.","Viverridae","indet.","Orangictis","gariepensis","Orangictis_gariepensis","Species"
"1452","Eutheria","Carnivora","indet.","Viverridae","Paradoxurinae","Paguma","indet.","Paguma","Genus"
"1453","Eutheria","Carnivora","indet.","Viverridae","Paradoxurinae","Paguma","larvata","Paguma_larvata","Species"
"1454","Eutheria","Carnivora","indet.","Viverridae","Paradoxurinae","Paradoxurus","hermaphroditus","Paradoxurus_hermaphroditus","Species"
"1455","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","zibetha","Viverra_zibetha","Species"
"1456","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverricula","malaccensis","Viverricula_malaccensis","Species"
"1457","Eutheria","Carnivora","indet.","Viverridae","Paradoxurinae","Paradoxurus","indet.","Paradoxurus","Genus"
"1458","Eutheria","Carnivora","indet.","Viverridae","indet.","Prionodon","indet.","Prionodon","Genus"
"1459","Eutheria","Carnivora","indet.","Viverridae","indet.","Pseudocivetta","indet.","Pseudocivetta","Genus"
"1460","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Sahelictis","korei","Sahelictis_korei","Species"
"1461","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","cadeoti","Semigenetta_cadeoti","Species"
"1462","Eutheria","Carnivora","indet.","Viverridae","indet.","Sivanasua","viverroides","Sivanasua_viverroides","Species"
"1463","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","laugnacensis","Semigenetta_laugnacensis","Species"
"1464","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","grandis","Semigenetta_grandis","Species"
"1465","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","huaiheensis","Semigenetta_huaiheensis","Species"
"1466","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","indet.","Semigenetta","Genus"
"1467","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","ripoli","Semigenetta_ripoli","Species"
"1468","Eutheria","Carnivora","indet.","Viverridae","indet.","Semigenetta","indet.","Semigenetta","Genus"
"1469","Eutheria","Carnivora","indet.","Viverridae","indet.","Stenoplesictis","cayluxi","Stenoplesictis_cayluxi","Species"
"1470","Eutheria","Carnivora","indet.","Viverridae","indet.","Ugandictis","napakensis","Ugandictis_napakensis","Species"
"1471","Eutheria","Carnivora","indet.","Viverridae","indet.","Vishnuictis","africana","Vishnuictis_africana","Species"
"1472","Eutheria","Carnivora","indet.","Viverridae","indet.","Vishnuictis","durandi","Vishnuictis_durandi","Species"
"1473","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","bakerii","Viverra_bakerii","Species"
"1474","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","chinjiensis","Viverra_chinjiensis","Species"
"1475","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","howeli","Viverra_howeli","Species"
"1476","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverricula","indet.","Viverricula","Genus"
"1477","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","karnuliensis","Viverra_karnuliensis","Species"
"1478","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","oeningensis","Viverra_oeningensis","Species"
"1479","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","pepraxti","Viverra_pepraxti","Species"
"1480","Eutheria","Carnivora","indet.","Viverridae","Viverrinae","Viverra","tangalunga","Viverra_tangalunga","Species"
"1481","Eutheria","Carnivora","indet.","Viverridae","indet.","Viverrictis","indet.","Viverrictis","Genus"
