"MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_family","MDD_genus","MDD_species","MDD_validity","MDD_original_combination","MDD_author","MDD_year","MDD_authority_parentheses","MDD_actual_rank","MDD_continent"
1005874,100049907,"vasarhelyi","Carnivora","Mustelidae","Mustela","Mustela_nivalis","synonym","vasarhelyi","Wozencraft",2005,"0","epithet","Africa|Asia|Europe|North America"
1005888,100006319,"masua","Carnivora","Procyonidae","Nasua","Nasua_nasua","synonym","masua","Wozencraft",2005,"0","epithet","South America"
1005888,100049911,"soederstroemmi","Carnivora","Procyonidae","Nasua","Nasua_nasua","synonym","soederstroemmi","Wozencraft",2005,"0","epithet","South America"
1005922,100029585,"wilkianus","Carnivora","Phocidae","Neomonachus","Neomonachus_tropicalis","synonym","wilkianus","Gosse",1851,"1","epithet","North America"
1006021,100004537,"gikdnabu","Carnivora","Felidae","Panthera","Panthera_onca","synonym","gikdnabu","Wozencraft",2005,"0","epithet","North America|South America"
1006022,100004555,"palearia","Carnivora","Felidae","Panthera","Panthera_pardus","synonym","palearia","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1832,"1","epithet","Africa|Asia|Europe"
1006022,100031900,"chinenesis","Carnivora","Felidae","Panthera","Panthera_pardus","synonym","chinenesis","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1006022,100049867,"leoparda","Carnivora","Felidae","Panthera","Panthera_pardus","synonym","leoparda","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1006022,100059144,"leoparda","Carnivora","Felidae","Panthera","Panthera_pardus","synonym","leoparda","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1006022,100049868,"nanoparda","Carnivora","Felidae","Panthera","Panthera_pardus","synonym","nanoparda","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1006100,100053332,"crossi","Carnivora","Viverridae","Paradoxurus","Paradoxurus_hermaphroditus","synonym","crossi","Wozencraft",2005,"0","epithet","Asia"
1006100,100049869,"nigrifons","Carnivora","Viverridae","Paradoxurus","Paradoxurus_hermaphroditus","synonym","nigrifons","Wozencraft",2005,"0","epithet","Asia"
1005928,100049891,"foetica","Carnivora","Phocidae","Pusa","Pusa_hispida","synonym","foetica","Wozencraft",2005,"0","epithet","Asia|Europe|North America"
1005931,100006420,"ornatus","Carnivora","Ursidae","Tremarctos","Tremarctos_ornatus","synonym","ornatus","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,"1","epithet","South America"
1005934,100049888,"schwenki","Carnivora","Ursidae","Ursus","Ursus_americanus","synonym","schwenki","Wozencraft",2005,"0","epithet","North America"
1005935,100006462,"collaris","Carnivora","Ursidae","Ursus","Ursus_arctos","synonym","collaris","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1824,"0","epithet","Asia|Europe|North America"
